id	prop	section_a	section_b	weight	""	""	
283	18005	1	1	1294	""	""	
283	18006	1	1	1294	""	""	
283	18007	1	1	1077	""	""	
284	19001	1	1	2500	""	""	
284	20001	1	1	2500	""	""	
284	21001	1	1	2500	""	""	
284	21051	1	1	2500	""	""	
1019	291	1	1	6000	""	""	
1019	292	1	1	1600	""	""	
1019	293	1	1	1800	""	""	
1019	294	1	1	600	""	""	
291	16001	1	1	2800	""	""	
291	16002	1	1	1226	""	""	
291	16003	1	1	910	""	""	
291	16004	1	1	624	""	""	
291	17001	1	1	2100	""	""	
291	17002	1	1	1048	""	""	
291	17003	1	1	796	""	""	
291	17004	1	1	496	""	""	
292	30001	1	1	10000	""	""	
293	18001	1	1	1810	""	""	
293	18002	1	1	1724	""	""	
293	18003	1	1	1724	""	""	
293	18004	1	1	1077	""	""	
293	18005	1	1	1294	""	""	
293	18006	1	1	1294	""	""	
293	18007	1	1	1077	""	""	
294	19001	1	1	2500	""	""	
294	20001	1	1	2500	""	""	
294	21001	1	1	2500	""	""	
294	21051	1	1	2500	""	""	
1020	301	1	1	6000	""	""	
1020	302	1	1	1600	""	""	
1020	303	1	1	1800	""	""	
1020	304	1	1	600	""	""	
301	16001	1	1	2800	""	""	
301	16002	1	1	1226	""	""	
301	16003	1	1	910	""	""	
301	16004	1	1	624	""	""	
301	17001	1	1	2100	""	""	
301	17002	1	1	1048	""	""	
301	17003	1	1	796	""	""	
301	17004	1	1	496	""	""	
302	30001	1	1	10000	""	""	
303	18001	1	1	1810	""	""	
303	18002	1	1	1724	""	""	
303	18003	1	1	1724	""	""	
303	18004	1	1	1077	""	""	
303	18005	1	1	1294	""	""	
303	18006	1	1	1294	""	""	
303	18007	1	1	1077	""	""	
304	19001	1	1	2500	""	""	
304	20001	1	1	2500	""	""	
304	21001	1	1	2500	""	""	
304	21051	1	1	2500	""	""	
1021	311	1	1	6000	""	""	
1021	312	1	1	1600	""	""	
1021	313	1	1	1800	""	""	
1021	314	1	1	600	""	""	
311	16001	1	1	2800	""	""	
311	16002	1	1	1226	""	""	
311	16003	1	1	910	""	""	
311	16004	1	1	624	""	""	
311	17001	1	1	2100	""	""	
311	17002	1	1	1048	""	""	
311	17003	1	1	796	""	""	
311	17004	1	1	496	""	""	
312	30001	1	1	10000	""	""	
313	18001	1	1	1810	""	""	
313	18002	1	1	1724	""	""	
313	18003	1	1	1724	""	""	
313	18004	1	1	1077	""	""	
313	18005	1	1	1294	""	""	
313	18006	1	1	1294	""	""	
313	18007	1	1	1077	""	""	
314	19001	1	1	2500	""	""	
314	20001	1	1	2500	""	""	
314	21001	1	1	2500	""	""	
314	21051	1	1	2500	""	""	
1022	321	1	1	6000	""	""	
1022	322	1	1	1600	""	""	
1022	323	1	1	1800	""	""	
1022	324	1	1	600	""	""	
321	16001	1	1	2800	""	""	
321	16002	1	1	1226	""	""	
321	16003	1	1	910	""	""	
321	16004	1	1	724	""	""	
321	17001	1	1	2000	""	""	
321	17002	1	1	1048	""	""	
321	17003	1	1	796	""	""	
321	17004	1	1	496	""	""	
322	30001	1	1	10000	""	""	
323	18001	1	1	1810	""	""	
323	18002	1	1	1724	""	""	
323	18003	1	1	1724	""	""	
323	18004	1	1	1077	""	""	
323	18005	1	1	1294	""	""	
323	18006	1	1	1294	""	""	
323	18007	1	1	1077	""	""	
324	19001	1	1	2500	""	""	
324	20001	1	1	2500	""	""	
324	21001	1	1	2500	""	""	
324	21051	1	1	2500	""	""	
1023	331	1	1	6000	""	""	
1023	332	1	1	1600	""	""	
1023	333	1	1	1800	""	""	
1023	334	1	1	600	""	""	
331	16001	1	1	2800	""	""	
331	16002	1	1	1226	""	""	
331	16003	1	1	910	""	""	
331	16004	1	1	624	""	""	
331	17001	1	1	2100	""	""	
331	17002	1	1	1048	""	""	
331	17003	1	1	796	""	""	
331	17004	1	1	496	""	""	
332	30001	1	1	10000	""	""	
333	18001	1	1	1810	""	""	
333	18002	1	1	1724	""	""	
333	18003	1	1	1724	""	""	
333	18004	1	1	1077	""	""	
333	18005	1	1	1294	""	""	
333	18006	1	1	1294	""	""	
333	18007	1	1	1077	""	""	
334	19001	1	1	2500	""	""	
334	20001	1	1	2500	""	""	
334	21001	1	1	2500	""	""	
334	21051	1	1	2500	""	""	
1101	11006	1	1	9000	""	""	
1101	11007	1	1	500	""	""	
1101	11008	1	1	500	""	""	
2001	26101	1	1	100	""	""	
2001	26201	1	1	100	""	""	
2001	26301	1	1	100	""	""	
2001	26901	1	1	100	""	""	
2001	27001	1	1	100	""	""	
2002	26102	1	1	100	""	""	
2002	26202	1	1	100	""	""	
2002	26302	1	1	100	""	""	
2002	26902	1	1	100	""	""	
2002	27002	1	1	100	""	""	
2002	26401	1	1	100	""	""	
2002	26501	1	1	100	""	""	
2003	26103	1	1	100	""	""	
2003	26203	1	1	100	""	""	
2003	26303	1	1	100	""	""	
2003	26903	1	1	100	""	""	
2003	27003	1	1	100	""	""	
2003	26402	1	1	100	""	""	
2003	26502	1	1	100	""	""	
2003	26701	1	1	100	""	""	
2003	26801	1	1	100	""	""	
2004	26403	1	1	100	""	""	
2004	26503	1	1	100	""	""	
2004	26702	1	1	100	""	""	
2004	26802	1	1	100	""	""	
2005	26703	1	1	100	""	""	
2005	26803	1	1	100	""	""	
2006	26703	1	1	100	""	""	
2006	26803	1	1	100	""	""	
3001	30001	1	1	850	""	""	
3001	31001	1	1	800	""	""	
3001	32001	1	1	750	""	""	
3001	33001	1	1	700	""	""	
3001	34001	1	1	650	""	""	
3001	35001	1	1	560	""	""	
3001	37001	1	1	500	""	""	
3001	38001	1	1	450	""	""	
3001	39001	1	1	400	""	""	
3001	40001	1	1	340	""	""	
3001	31002	1	1	430	""	""	
3001	32002	1	1	410	""	""	
3001	33002	1	1	390	""	""	
3001	34002	1	1	380	""	""	
3001	35002	1	1	320	""	""	
3001	37002	1	1	280	""	""	
3001	38002	1	1	280	""	""	
3001	39002	1	1	260	""	""	
3001	40002	1	1	250	""	""	
3001	31003	1	1	140	""	""	
3001	32003	1	1	130	""	""	
3001	33003	1	1	120	""	""	
3001	34003	1	1	110	""	""	
3001	35003	1	1	100	""	""	
3001	37003	1	1	100	""	""	
3001	38003	1	1	100	""	""	
3001	39003	1	1	100	""	""	
3001	40003	1	1	100	""	""	
3101	19001	1	1	1800	""	""	
3101	20001	1	1	1500	""	""	
3101	21001	1	1	1600	""	""	
3101	21051	1	1	1600	""	""	
3101	19002	1	1	900	""	""	
3101	20002	1	1	600	""	""	
3101	21002	1	1	600	""	""	
3101	21052	1	1	600	""	""	
3101	19003	1	1	240	""	""	
3101	20003	1	1	180	""	""	
3101	21003	1	1	190	""	""	
3101	21053	1	1	190	""	""	
3201	70001	1	1	1	""	""	
3201	70001	1	1	1	""	""	
3201	70001	1	1	1	""	""	
3201	70001	1	1	1	""	""	
3201	70001	1	1	1	""	""	
3301	71101	1	1	1	""	""	
3301	71101	1	1	1	""	""	
3301	71101	1	1	1	""	""	
3301	71101	1	1	1	""	""	
3301	71101	1	1	1	""	""	
3401	72101	1	1	1	""	""	
3401	72101	1	1	1	""	""	
3401	72101	1	1	1	""	""	
3401	72101	1	1	1	""	""	
3401	72101	1	1	1	""	""	
3501	21005	1	1	10	0.08	炮塔	
3501	21057	1	1	10	0.08	水精灵	
3501	11006	18	30	10	0.08	木桶	
3501	11007	5	10	13	0.104	银桶	
3501	11008	3	6	15	0.12	金桶	
3501	16001	100	170	5	0.04	木材	
3501	17001	50	90	5	0.04	铁矿	
3501	36001	1	1	7	0.056	木墙	
3501	36002	1	1	8	0.064	刺墙	
3501	36003	1	1	8	0.064	石墙	
3501	36004	1	1	8	0.064	弓弩墙	
3501	36005	1	1	8	0.064	石弩墙	
3501	22001	10	18	9	0.072	白魂	
3501	25001	8	14	9	0.072	贝壳	
3601	20008	1	1	8	""	超级英雄	
3601	21005	1	1	12	""	炮塔	
3601	21057	1	1	10	""	水精灵	
3601	11008	8	12	14	""	金桶	
