id	name	type	lv	icon	anim_name	color	next	number	price	xoffset	offset	soundID	
18009	"Ngữạ Gỗ"	11	0	18009	""	5	0	0	15	0	0	74_18009	
18010	"Tường Gỗ"	11	0	18010	""	1	0	0	15	0	0	73_18010	
18011	"Đũa Thần"	11	0	18011	""	5	0	0	15	0	0	86_18011	
18012	"Tường Gai"	11	0	18012	""	2	0	0	15	0	0	69_18012	
18013	"Tường Đá"	11	0	18013	""	3	0	0	15	0	0	77_18013	
18014	"Tường Nỏ"	11	0	18014	""	4	0	0	15	0	0	71_18014	
18015	"Tường Nỏ Đá"	11	0	18015	""	5	0	0	15	0	0	71_18014	
19001	"Hạt Giống Nhỏ"	12	1	19001	""	1	19002	1	2	2	3	128_19000	
19002	"Chồi Hoa"	12	2	19002	""	1	19003	1	4	2	8	128_19000	
19003	"Hoa Tươi"	12	3	19003	""	2	19004	1	6	2	8	128_19000	
19004	"Chậu Cây Cảnh"	12	4	19004	""	2	19005	1	8	2	8	128_19000	
19005	"Bụi Hoa"	12	5	19005	""	3	19006	1	10	2	8	128_19000	
19006	"Bụi Cây Rậm"	12	6	19006	""	3	19007	1	12	2	8	128_19000	
19007	"Rừng Cây"	12	7	19007	""	4	19008	1	14	2	10	128_19000	
19008	"Phước Lành Bụi Hoa"	12	8	19008	""	4	0	0	16	0	27	128_19000	
20001	"Khố Đá Cẩm Thạch"	13	1	20001	""	1	20002	1	5	-3	10	89_20000	
20002	"Trụ Đá Gãy"	13	2	20002	""	1	20003	1	10	-4	25	89_20000	
20003	"Tượng Nửa Thân"	13	3	20003	""	2	20004	1	15	-4	33	89_20000	
20004	"Tượng Đá Đứng"	13	4	20004	""	2	20005	1	20	-3	36	89_20000	
20005	"Điêu Khắc Bị Hỏng"	13	5	20005	""	3	20006	1	25	-8	40	89_20000	
20006	"Tượng Tiên Cá Vỡ"	13	6	20006	""	3	20007	1	30	-11	65	89_20000	
20007	"Tượng Ngư Nữ"	13	7	20007	""	4	20008	1	35	-11	65	89_20000	
20008	"Hộp Siêu Anh Hùng"	13	8	20008	""	4	0	0	3201	7	24	""	
21001	"Lan Can Hỏng"	14	1	21001	""	1	21002	1	10	-1	5	""	
21002	"Tượng Khiếm Khuyết"	14	2	21002	""	1	21003	1	15	-1	5	""	
21003	"Tượng Hình Người"	14	3	21003	""	2	21004	1	20	-1	5	""	
21004	"Tượng Đá Phòng Ngự"	14	4	21004	""	2	21005	1	25	-1	17	""	
21005	"Hộp Phòng Thủ"	14	5	21005	""	3	0	0	3301	7	24	""	
21051	"Xô Nước"	19	1	21051	""	1	21052	1	5	5	10	""	
21052	"Đài Nước Nhỏ"	19	2	21052	""	1	21053	1	10	0	0	""	
21053	"Đài Phun Hoa"	19	3	21053	""	2	21054	1	15	0	0	""	
21054	"Đài Phun Hoa Viên"	19	4	21054	""	2	21055	1	20	-2	12	""	
21055	"Đài Phun Xa Hoa"	19	5	21055	""	3	21056	1	25	0	13	""	
21056	"Hộ Vệ Đài Phun Nước"	19	6	21056	""	3	21057	1	30	-2	29	""	
21057	"Hộp Bảo Vệ"	19	7	21057	""	4	0	0	3401	7	24	""	
22001	"Linh Hồn Trắng"	15	1	22001	22001	1	22002	1	0	0	0	""	
22002	"Linh Hồn Lam"	15	2	22002	22002	1	22003	2	0	0	0	""	
22003	"Linh Hồn Xanh Lá"	15	3	22003	22003	2	22004	5	2001	0	0	""	
22004	"Linh Hồn Vàng"	15	4	22004	22004	2	22005	11	2002	0	0	""	
22005	"Linh Hồn Tím"	15	5	22005	22005	3	22006	23	2003	0	0	""	
22006	"Linh Hồn Đỏ"	15	6	22006	22006	3	22007	47	2004	0	0	""	
22007	"Linh Hồn Đen"	15	7	22007	22007	4	22008	95	2005	0	0	""	
22008	"Linh Hồn Tia Chớp"	15	8	22008	22008	4	0	191	2006	0	0	""	
23001	"Cuộn Lính Lao Móc"	16	1	23001	""	1	0	0	0	0	0	""	
23002	"Cuộn Lính Ném Đá"	16	2	23001	""	1	0	0	0	0	0	""	
23003	"Cuộn Lính Cầm Khiên"	16	3	23001	""	1	0	0	0	0	0	""	
23004	"Cuộn Lính Cung"	16	4	23001	""	1	0	0	0	0	0	""	
23005	"Cuộn Man Rợ"	16	5	23001	""	2	0	0	0	0	0	""	
23006	"Cuộn Tường Gai"	16	6	23001	""	1	0	0	0	0	0	""	
23007	"Cuộn Đồi Núi"	16	7	23001	""	2	0	0	0	0	0	""	
23008	"Cuộn Tù Trưởng"	16	8	23001	""	2	0	0	0	0	0	""	
23009	"Cuộn Tháp Tên"	16	9	23001	""	2	0	0	0	0	0	""	
23010	"Cuộn Người Cá"	16	10	23001	""	3	0	0	0	0	0	""	
23011	"Cuộn Tường Đá"	16	11	23001	""	3	0	0	0	0	0	""	
23012	"Cuộn Kỵ Sỹ"	16	12	23001	""	3	0	0	0	0	0	""	
23013	"Cuộn Tháp Tên Đá"	16	13	23001	""	4	0	0	0	0	0	""	
23014	"Cuộn Đao Khách"	16	14	23001	""	2	0	0	0	0	0	""	
23015	"Cuộn Lính Giáo"	16	15	23001	""	2	0	0	0	0	0	""	
23016	"Cuộn Phù Thủy"	16	16	23001	""	4	0	0	0	0	0	""	
23017	"Cuộn Đại Nguyên Soái"	16	17	23001	""	4	0	0	0	0	0	""	
23018	"Cuộn Nhân Mã"	16	18	23001	""	5	0	0	0	0	0	""	
23019	"Cuộn Rồng"	16	19	23001	""	5	0	0	0	0	0	""	
24001	"Kim Cương 1"	4	1	24001	""	1	0	1	5	0	0	""	
24002	"Kim Cương 2"	4	2	24002	""	2	24001	2	10	0	0	""	
24003	"Kim Cương 3"	4	3	24003	""	3	24002	4	15	0	0	""	
24004	"Kim Cương 4"	4	4	24004	""	4	24003	8	20	0	0	""	
24005	"Kim Cương 5"	4	5	24005	""	5	24004	16	25	0	0	""	
25001	"Vỏ Sò 1"	17	1	25001	""	1	25002	1	3	0	0	82_25001	
25002	"Vỏ Sò 2"	17	2	25002	""	1	25003	3	6	0	0	82_25001	
25003	"Vỏ Sò 3"	17	3	25003	""	2	25004	7	10	1	9	82_25001	
25004	"Vỏ Sò 4"	17	4	25004	""	2	25005	15	15	0	4	82_25001	
25005	"Vỏ Sò 5"	17	5	25005	""	3	25006	31	20	3	0	82_25001	
25006	"Vỏ Sò 6"	17	6	25006	""	3	25007	63	25	3	2	82_25001	
25007	"Vỏ Sò 7"	17	7	25007	""	4	25008	128	30	5	7	82_25001	
25008	"Vỏ Sò 8"	17	8	25008	""	4	0	260	35	1	13	82_25001	
26101	"Lính lao Móc"	18	1	26103	""	1	31001	0	0	21	22	""	
26102	"Lính lao Móc"	18	2	26103	""	1	31002	0	0	21	22	""	
26103	"Lính lao Móc"	18	3	26103	""	1	31003	0	0	21	22	""	
26201	"Lính Bắn Đá"	18	1	26203	""	1	32001	0	0	20	24	""	
26202	"Lính Bắn Đá"	18	2	26203	""	1	32002	0	0	20	24	""	
26203	"Lính Bắn Đá"	18	3	26203	""	1	32003	0	0	20	24	""	
26301	"Lính Cầm Khiên"	18	1	26303	""	1	33001	0	0	21	34	""	
26302	"Lính Cầm Khiên"	18	2	26303	""	1	33002	0	0	21	34	""	
26303	"Lính Cầm Khiên"	18	3	26303	""	1	33003	0	0	21	34	""	
26401	"tay Bắn Cung"	18	1	26403	""	1	34001	0	0	14	23	""	
26402	"tay Bắn Cung"	18	2	26403	""	1	34002	0	0	14	23	""	
26403	"tay Bắn Cung"	18	3	26403	""	1	34003	0	0	14	23	""	
26501	"Người Man Dã"	18	1	26503	""	1	35001	0	0	38	33	""	
26502	"Người Man Dã"	18	2	26503	""	1	35002	0	0	38	33	""	
26503	"Người Man Dã"	18	3	26503	""	1	35003	0	0	38	33	""	
26701	"Dũng Sĩ Sơn Khâu"	18	1	26703	""	1	37001	0	0	15	24	""	
26702	"Dũng Sĩ Sơn Khâu"	18	2	26703	""	1	37002	0	0	15	24	""	
26703	"Dũng Sĩ Sơn Khâu"	18	3	26703	""	1	37003	0	0	15	24	""	
26801	"Bộ Lạc Tù Hư"	18	1	26803	""	1	38001	0	0	27	31	""	
26802	"Bộ Lạc Tù Hư"	18	2	26803	""	1	38002	0	0	27	31	""	
26803	"Bộ Lạc Tù Hư"	18	3	26803	""	1	38003	0	0	27	31	""	
26901	"Kiếm Sĩ Lang Thang"	18	1	26503	""	1	39001	0	0	38	33	""	
26902	"Kiếm Sĩ Lang Thang"	18	2	26503	""	1	39002	0	0	38	33	""	
26903	"Kiếm Sĩ Lang Thang"	18	3	26503	""	1	39003	0	0	38	33	""	
27001	"Lính Thương Bão Táp"	18	1	26103	""	1	40001	0	0	21	22	""	
27002	"Lính Thương Bão Táp"	18	2	26103	""	1	40002	0	0	21	22	""	
27003	"Lính Thương Bão Táp"	18	3	26103	""	1	40003	0	0	21	22	""	
27101	"Nàng Tiên Cá"	18	1	26503	""	1	41001	0	0	9	33	""	
27102	"Nàng Tiên Cá"	18	2	26503	""	1	41002	0	0	9	33	""	
27103	"Nàng Tiên Cá"	18	3	26503	""	1	41003	0	0	9	33	""	
27201	"Kị Sĩ Thiết Giáp"	18	1	26703	""	1	42001	0	0	15	24	""	
27202	"Kị Sĩ Thiết Giáp"	18	2	26703	""	1	42002	0	0	15	24	""	
27203	"Kị Sĩ Thiết Giáp"	18	3	26703	""	1	42003	0	0	15	24	""	
27301	"Phù Thủy Ma Pháp"	18	1	26403	""	1	43001	0	0	14	23	""	
27302	"Phù Thủy Ma Pháp"	18	2	26403	""	1	43002	0	0	14	23	""	
27303	"Phù Thủy Ma Pháp"	18	3	26403	""	1	43003	0	0	14	23	""	
27401	"Rồng"	18	1	26403	""	1	44001	0	0	14	23	""	
27402	"Rồng"	18	2	26403	""	1	44002	0	0	14	23	""	
27403	"Rồng"	18	3	26403	""	1	44003	0	0	14	23	""	
27501	"Đại Nguyên Soái"	18	1	26403	""	1	45001	0	0	14	23	""	
27502	"Đại Nguyên Soái"	18	2	26403	""	1	45002	0	0	14	23	""	
27503	"Đại Nguyên Soái"	18	3	26403	""	1	45003	0	0	14	23	""	
27601	"Chiến Binh Nhân Mã"	18	1	26403	""	1	46001	0	0	14	23	""	
27602	"Chiến Binh Nhân Mã"	18	2	26403	""	1	46002	0	0	14	23	""	
27603	"Chiến Binh Nhân Mã"	18	3	26403	""	1	46003	0	0	14	23	""	
