arms	star	name	nextNeedItem	nextNeedNum	defense	attack	hp	speed	
4	9	弓箭手9星	34003	20	5	7500	7500	0	
4	10	弓箭手10星	0	0	5	8000	8000	0	
5	0	野蛮人0星	35003	2	0	0	0	0	
5	1	野蛮人1星	35003	4	1	1500	1500	0	
5	2	野蛮人2星	35003	6	2	2500	2500	0	
5	3	野蛮人3星	35003	8	3	3500	3500	0	
5	4	野蛮人4星	35003	10	4	4500	4500	0	
5	5	野蛮人5星	35003	12	5	5500	5500	0	
5	6	野蛮人6星	35003	14	6	6000	6000	0	
5	7	野蛮人7星	35003	16	7	6500	6500	0	
5	8	野蛮人8星	35003	18	8	7000	7000	0	
5	9	野蛮人9星	35003	20	9	7500	7500	0	
5	10	野蛮人10星	0	0	10	8000	8000	0	
6	0	木墙0星	36001	2	0	0	0	0	
6	1	木墙1星	36001	4	2	1500	1500	0	
6	2	木墙2星	36001	6	4	2500	2500	0	
6	3	木墙3星	36001	8	6	3500	3500	0	
6	4	木墙4星	36001	10	8	4500	4500	0	
6	5	木墙5星	36001	12	10	5500	5500	0	
6	6	木墙6星	36001	14	12	6000	6000	0	
6	7	木墙7星	36001	16	14	6500	6500	0	
6	8	木墙8星	36001	18	16	7000	7000	0	
6	9	木墙9星	36001	20	18	7500	7500	0	
6	10	木墙10星	0	0	20	8000	8000	0	
7	0	尖刺墙0星	36002	2	0	0	0	0	
7	1	尖刺墙1星	36002	4	2	1500	1500	0	
7	2	尖刺墙2星	36002	6	4	2500	2500	0	
7	3	尖刺墙3星	36002	8	6	3500	3500	0	
7	4	尖刺墙4星	36002	10	8	4500	4500	0	
7	5	尖刺墙5星	36002	12	10	5500	5500	0	
7	6	尖刺墙6星	36002	14	12	6000	6000	0	
7	7	尖刺墙7星	36002	16	14	6500	6500	0	
7	8	尖刺墙8星	36002	18	16	7000	7000	0	
7	9	尖刺墙9星	36002	20	18	7500	7500	0	
7	10	尖刺墙10星	0	0	20	8000	8000	0	
8	0	弓弩墙0星	36003	2	0	0	0	0	
8	1	弓弩墙1星	36003	4	1	1500	1500	0	
8	2	弓弩墙2星	36003	6	2	2500	2500	0	
8	3	弓弩墙3星	36003	8	3	3500	3500	0	
8	4	弓弩墙4星	36003	10	4	4500	4500	0	
8	5	弓弩墙5星	36003	12	5	5500	5500	0	
8	6	弓弩墙6星	36003	14	6	6000	6000	0	
8	7	弓弩墙7星	36003	16	7	6500	6500	0	
8	8	弓弩墙8星	36003	18	8	7000	7000	0	
8	9	弓弩墙9星	36003	20	9	7500	7500	0	
8	10	弓弩墙10星	0	0	10	8000	8000	0	
9	0	石壁墙0星	36004	2	0	0	0	0	
9	1	石壁墙1星	36004	4	3	1500	1500	0	
9	2	石壁墙2星	36004	6	5	2500	2500	0	
9	3	石壁墙3星	36004	8	7	3500	3500	0	
9	4	石壁墙4星	36004	10	9	4500	4500	0	
9	5	石壁墙5星	36004	12	11	5500	5500	0	
9	6	石壁墙6星	36004	14	13	6000	6000	0	
9	7	石壁墙7星	36004	16	15	6500	6500	0	
9	8	石壁墙8星	36004	18	17	7000	7000	0	
9	9	石壁墙9星	36004	20	21	7500	7500	0	
9	10	石壁墙10星	0	0	23	8000	8000	0	
10	0	石弩墙0星	36005	2	0	0	0	0	
10	1	石弩墙1星	36005	4	2	1500	1500	0	
10	2	石弩墙2星	36005	6	4	2500	2500	0	
10	3	石弩墙3星	36005	8	6	3500	3500	0	
10	4	石弩墙4星	36005	10	8	4500	4500	0	
10	5	石弩墙5星	36005	12	10	5500	5500	0	
10	6	石弩墙6星	36005	14	12	6000	6000	0	
10	7	石弩墙7星	36005	16	14	6500	6500	0	
10	8	石弩墙8星	36005	18	16	7000	7000	0	
10	9	石弩墙9星	36005	20	18	7500	7500	0	
10	10	石弩墙10星	0	0	20	8000	8000	0	
11	0	山丘勇士0星	37003	2	0	0	0	0	
11	1	山丘勇士1星	37003	4	2	1500	1500	0	
11	2	山丘勇士2星	37003	6	4	2500	2500	0	
11	3	山丘勇士3星	37003	8	6	3500	3500	0	
11	4	山丘勇士4星	37003	10	8	4500	4500	0	
11	5	山丘勇士5星	37003	12	10	5500	5500	0	
11	6	山丘勇士6星	37003	14	12	6000	6000	0	
11	7	山丘勇士7星	37003	16	14	6500	6500	0	
11	8	山丘勇士8星	37003	18	16	7000	7000	0	
11	9	山丘勇士9星	37003	20	18	7500	7500	0	
11	10	山丘勇士10星	0	0	20	8000	8000	0	
12	0	部落酋长0星	38003	2	0	0	0	0	
12	1	部落酋长1星	38003	4	1	1500	1500	0	
12	2	部落酋长2星	38003	6	2	2500	2500	0	
12	3	部落酋长3星	38003	8	3	3500	3500	0	
12	4	部落酋长4星	38003	10	4	4500	4500	0	
12	5	部落酋长5星	38003	12	5	5500	5500	0	
12	6	部落酋长6星	38003	14	6	6000	6000	0	
12	7	部落酋长7星	38003	16	7	6500	6500	0	
12	8	部落酋长8星	38003	18	8	7000	7000	0	
12	9	部落酋长9星	38003	20	9	7500	7500	0	
12	10	部落酋长10星	0	0	10	8000	8000	0	
13	0	流浪刀客0星	39003	2	0	0	0	0	
13	1	流浪刀客1星	39003	4	1	1500	1500	0	
13	2	流浪刀客2星	39003	6	2	2500	2500	0	
13	3	流浪刀客3星	39003	8	3	3500	3500	0	
13	4	流浪刀客4星	39003	10	4	4500	4500	0	
13	5	流浪刀客5星	39003	12	5	5500	5500	0	
13	6	流浪刀客6星	39003	14	6	6000	6000	0	
13	7	流浪刀客7星	39003	16	7	6500	6500	0	
13	8	流浪刀客8星	39003	18	8	7000	7000	0	
13	9	流浪刀客9星	39003	20	9	7500	7500	0	
13	10	流浪刀客10星	0	0	10	8000	8000	0	
14	0	暴雨枪兵0星	40003	2	0	0	0	0	
14	1	暴雨枪兵1星	40003	4	1	1500	1500	0	
14	2	暴雨枪兵2星	40003	6	2	2500	2500	0	
14	3	暴雨枪兵3星	40003	8	3	3500	3500	0	
14	4	暴雨枪兵4星	40003	10	4	4500	4500	0	
14	5	暴雨枪兵5星	40003	12	5	5500	5500	0	
14	6	暴雨枪兵6星	40003	14	6	6000	6000	0	
14	7	暴雨枪兵7星	40003	16	7	6500	6500	0	
14	8	暴雨枪兵8星	40003	18	8	7000	7000	0	
14	9	暴雨枪兵9星	40003	20	9	7500	7500	0	
14	10	暴雨枪兵10星	0	0	10	8000	8000	0	
15	0	美人鱼0星	41003	2	0	0	0	0	
15	1	美人鱼1星	41003	4	1	1500	1500	0	
15	2	美人鱼2星	41003	6	2	2500	2500	0	
15	3	美人鱼3星	41003	8	3	3500	3500	0	
15	4	美人鱼4星	41003	10	4	4500	4500	0	
15	5	美人鱼5星	41003	12	5	5500	5500	0	
15	6	美人鱼6星	41003	14	6	6000	6000	0	
15	7	美人鱼7星	41003	16	7	6500	6500	0	
15	8	美人鱼8星	41003	18	8	7000	7000	0	
15	9	美人鱼9星	41003	20	9	7500	7500	0	
15	10	美人鱼10星	0	0	10	8000	8000	0	
16	0	铁甲骑士0星	42003	2	0	0	0	0	
16	1	铁甲骑士1星	42003	4	2	1500	1500	0	
16	2	铁甲骑士2星	42003	6	4	2500	2500	0	
16	3	铁甲骑士3星	42003	8	6	3500	3500	0	
16	4	铁甲骑士4星	42003	10	8	4500	4500	0	
16	5	铁甲骑士5星	42003	12	10	5500	5500	0	
16	6	铁甲骑士6星	42003	14	12	6000	6000	0	
16	7	铁甲骑士7星	42003	16	14	6500	6500	0	
16	8	铁甲骑士8星	42003	18	16	7000	7000	0	
16	9	铁甲骑士9星	42003	20	18	7500	7500	0	
16	10	铁甲骑士10星	0	0	20	8000	8000	0	
17	0	魔法女巫0星	43003	2	0	0	0	0	
17	1	魔法女巫1星	43003	4	1	1500	1500	0	
17	2	魔法女巫2星	43003	6	1	2500	2500	0	
17	3	魔法女巫3星	43003	8	2	3500	3500	0	
17	4	魔法女巫4星	43003	10	2	4500	4500	0	
17	5	魔法女巫5星	43003	12	3	5500	5500	0	
17	6	魔法女巫6星	43003	14	3	6000	6000	0	
17	7	魔法女巫7星	43003	16	4	6500	6500	0	
17	8	魔法女巫8星	43003	18	4	7000	7000	0	
17	9	魔法女巫9星	43003	20	5	7500	7500	0	
17	10	魔法女巫10星	0	0	5	8000	8000	0	
18	0	龙0星	44003	2	0	0	0	0	
18	1	龙1星	44003	4	1	1500	1500	0	
18	2	龙2星	44003	6	2	2500	2500	0	
18	3	龙3星	44003	8	3	3500	3500	0	
18	4	龙4星	44003	10	4	4500	4500	0	
18	5	龙5星	44003	12	5	5500	5500	0	
18	6	龙6星	44003	14	6	6000	6000	0	
18	7	龙7星	44003	16	7	6500	6500	0	
18	8	龙8星	44003	18	8	7000	7000	0	
18	9	龙9星	44003	20	9	7500	7500	0	
18	10	龙10星	0	0	10	8000	8000	0	
19	0	大元帅0星	45003	2	0	0	0	0	
19	1	大元帅1星	45003	4	1	1500	1500	0	
19	2	大元帅2星	45003	6	2	2500	2500	0	
19	3	大元帅3星	45003	8	3	3500	3500	0	
19	4	大元帅4星	45003	10	4	4500	4500	0	
19	5	大元帅5星	45003	12	5	5500	5500	0	
19	6	大元帅6星	45003	14	6	6000	6000	0	
19	7	大元帅7星	45003	16	7	6500	6500	0	
19	8	大元帅8星	45003	18	8	7000	7000	0	
19	9	大元帅9星	45003	20	9	7500	7500	0	
19	10	大元帅10星	0	0	10	8000	8000	0	
20	0	人马战骑0星	46003	2	0	0	0	0	
20	1	人马战骑1星	46003	4	1	1500	1500	0	
20	2	人马战骑2星	46003	6	2	2500	2500	0	
20	3	人马战骑3星	46003	8	3	3500	3500	0	
20	4	人马战骑4星	46003	10	4	4500	4500	0	
20	5	人马战骑5星	46003	12	5	5500	5500	0	
20	6	人马战骑6星	46003	14	6	6000	6000	0	
20	7	人马战骑7星	46003	16	7	6500	6500	0	
20	8	人马战骑8星	46003	18	8	7000	7000	0	
20	9	人马战骑9星	46003	20	9	7500	7500	0	
20	10	人马战骑10星	0	0	10	8000	8000	0	
