guideID	guideIndex	guideSerial	guideDesc	eventType	roleDire	circleWidth	isParticleSystem	curEventName	guideParm	childrenEvent1	childrenEvent2	skinName	txtDire	isShowTipLbl	color	content	txtoffsetx	txtoffsety	roleoffsetx	roleoffsety	dispearPos	nextGuideID	soundID	
11	2	0	""	3	-400	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
11	3	45	"Nhấp vào hội thoại(Chĩa ba, tương tự như cây đinh ba của tôi)"）	1	1	0	1	""	""	""	""	man1	3	1	0	"Cây chĩa ba này cũng gần như cây đinh ba của tôi!"	-82	-10	192	-174	""	""	43_guide14	
11	4	46	"Bấm vào hội thoại(Để hợp nhất với Dân làng đằng kia)"	1	1	0	0	""	""	""	""	man1	3	1	0	"Hợp nhất nó với <color=#f34c1d>Dân Làng</c> đằng kia。"	-82	-10	192	-174	623	""	42_guide15	
11	5	0	""	3	105	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
11	6	0	""	2	-244	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
12	1	0	""	2	284	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
12	2	0	""	3	-400	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
12	3	50	"Nhân vào hội thoại(Theo tôi những người dân quân này khá giỏi)"	1	1	0	1	""	""	""	""	man1	3	1	0	"Chà! Những người <color=#f34c1d>Dân Quân</c> này khá ổn。"	-82	-10	192	-174	""	""	46_guide16	
12	4	51	"Nhấn vào hội thoại(Hợp nhất để làm cho chúng mạnh hơn)"	1	1	0	0	""	""	""	""	man1	3	1	0	"Hợp nhất để làm cho chúng <color=#f34c1d>mạnh hơn</c>。"	-82	-10	192	-174	""	""	44_guide17	
12	5	0	""	3	105	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
12	6	0	""	2	-244	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
13	1	0	""	0	10	10	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
13	2	0	""	3	-400	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
13	3	8	"Nhấp vào hội thoại(Khoảnh khắc bất ngờ)"	1	0	500	1	""	""	""	""	man2	1	1	0	"Đến giờ đột kích!!"	100	-17	-162	-117	-650	""	47_guide20	
13	4	9	"Nhấp vào hội thoại(hãy lên và bắt đầu trận chiến)"	1	0	500	1	""	""	""	""	man3	1	1	0	"Hãy lên <color=#aa29dc>tàu đột kích</c> và bắt đầu trận chiến!!"	100	-150	-192	-47	-650	""	48_guide19	
13	5	0	""	1	0	500	0	guide-clickBeginFightBtn	10	guide-clickBeginFightBtnPos	guide-clickBeginFightBtnPosSucc	""	""	0	""	""	""	""	""	""	""	""	""	
13	6	0	""	2	244	10	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
14	1	0	""	2	100	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
14	2	0	""	1	1	1200	1	guide-clickBuildBtn	3	guide-clickBuildBtnPos	guide-clickBuildBtnPosSucc	man3	2	1	0	"<color=#aa29dc>Quân Đội</c> sẽ làm bất cứ điều gì có thể。"	-74	-11	222	73	""	""	51_guide21	
14	3	0	""	1	1	1200	0	guide-clickBuildBtn	3	guide-clickBuildBtnPos	guide-clickBuildBtnPosSucc	man3	2	1	0	"<color=#aa29dc>Nhặt</c> những thứ cần thiết cho Vương Quốc。"	-74	-11	222	73	628	""	50_guide22	
14	4	0	""	1	0	1200	0	guide-clickBuildBtn	3	guide-clickBuildBtnPos	guide-clickBuildBtnPosSucc	""	""	0	""	""	""	""	""	""	""	""	""	
14	5	0	""	2	-220	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
15	1	0	""	2	300	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
15	2	18	"Nhấp vào hội thoại(Cuộc đột kích thành công tốt đẹp và có nhiều chiến lợi phẩm)"	1	1	1200	1	""	""	""	""	man4	3	1	0	"Cuộc đột kích thành công, bạn thu được <color=#aa29dc>thêm nguyên liêu</c>. Hãy <color=#aa29dc>xây dựng một hòn đảo</c>!!"	-115	70	95	-239	-623	""	38_guide10	
15	3	0	""	2	-200	0	0	""	""	""	""	""	""	0	""	""	""	""	""	""	""	""	""	
