id	name	sub_type	lv	icon	color	unlock_formula	need_id	need_id	reward	num	formula_group	is_big_icon	is_model	skin	animation	offset_y	model_scale	
13007	"Mỏ neo hắc kim"	4	7	13007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
13008	"Mỏ neo hoa lệ"	4	8	13008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
14001	"Sừng gỗ"	4	1	14001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
14002	"Sừng sắt"	4	2	14002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
14003	"Sừng cam"	4	3	14003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
14004	"Sừng đỏ"	4	4	14004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
14005	"Sừng xanh da trời"	4	5	14005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
14006	"Sừng tử kim"	4	6	14006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
14007	"Sừng hắc kim"	4	7	14007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
14008	"Sừng hoa lệ"	4	8	14008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
15001	"Bình gỗ"	4	1	15001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
15002	"Bình sắt"	4	2	15002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
15003	"Bình cam"	4	3	15003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
15004	"Bình đỏ"	4	4	15004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
15005	"Bình xanh da trời"	4	5	15005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
15006	"Bình tử kim"	4	6	15006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
15007	"Bình hắc kim"	4	7	15007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
15008	"Bình hoa lệ"	4	8	15008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
25001	"Vỏ sò nhỏ"	4	1	25001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
25002	"Vỏ sò trung"	4	2	25002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
25003	"Vỏ sò to"	4	3	25003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
25004	"Giỏ đựng nhỏnhỏ"	4	4	25004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
25005	"Giỏ đựng trung"	4	5	25005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
25006	"Giỏ đựng to"	4	6	25006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
25007	"Giỏ đựng siêu to"	4	7	25007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
25008	"Giỏ đựng khổng lồ"	4	8	25008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
22001	"Linh hồn trắng"	5	1	22001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
22002	"Linh hồn xanh lam"	5	2	22002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
22003	"Linh hồn xanh lá cây"	5	3	22003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
22004	"Linh hồn vàng"	5	4	22004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
22005	"Linh hồn tímtím"	5	5	22005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
22006	"Linh hồn đỏ"	5	6	22006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
22007	"Linh hồn đen"	5	7	22007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
22008	"Linh hồn tia chớp"	5	8	22008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
19001	"Hạt giống nhỏ"	6	1	19001	2	0|1|2	0	0	11002	1	-1	1	0	""	""	0	""	
19002	"Nụ hoa"	6	2	19002	2	0|1|2	0	0	11002	2	-1	1	0	""	""	0	""	
19003	"Hoa nở"	6	3	19003	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
19004	"Chậu trồng đẹp"	6	4	19004	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
19005	"Hoa tươi"	6	5	19005	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
19006	"Bụi cây rậm"	6	6	19006	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
19007	"Bụi cây đẹp"	6	7	19007	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
19008	"Bụi hoa chúc phúc"	6	8	19008	2	0|1|2	0	0	11002	4	-1	1	0	""	""	0	""	
20001	"Đá cẩm thạch"	6	1	20001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
20002	"Trụ đá khiếm khuyết"	6	2	20002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
20003	"Tượng đá một nửa"	6	3	20003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
20004	"Tượng đá đứng"	6	4	20004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
20005	"Tượng chưa hoàn thiện"	6	5	20005	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
20006	"Tượng ngư nữ"	6	6	20006	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
20007	"Hộ vệ ngư nữ"	6	7	20007	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
20008	"Hộp anh hùng siêu cấp"	6	8	20008	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
21001	"Lan can kiếm khuyết"	6	1	21001	2	0|1|2	0	0	11002	1	-1	0	0	""	""	0	""	
21002	"Tượng khiếm khuyết"	6	2	21002	2	0|1|2	0	0	11002	2	-1	0	0	""	""	0	""	
21003	"người điêu khắc đá"	6	3	21003	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
21004	"Người đá phòng ngự"	6	4	21004	2	0|1|2	0	0	11002	3	-1	0	0	""	""	0	""	
21005	"Hộp phòng ngự"	6	5	21005	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
21051	"Thùng nước"	6	1	21051	2	0|1|2	0	0	11002	1	-1	1	0	""	""	0	""	
21052	"Đài phun nhỏ"	6	2	21052	2	0|1|2	0	0	11002	2	-1	1	0	""	""	0	""	
21053	"Đài phun hoa"	6	3	21053	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
21054	"đài phun hoa viên"	6	4	21054	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
21055	"đài phun sang trọng"	6	5	21055	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
21056	"Hộ vệ đài phun nước"	6	6	21056	2	0|1|2	0	0	11002	3	-1	1	0	""	""	0	""	
21057	"Hộp mù Guardian"	6	7	21057	2	0|1|2	0	0	11002	4	-1	0	0	""	""	0	""	
