shop_id	lv	shop_type	item_id	item_num	money_type	price	limit_num	
5057	2	1	15002	1	11005	56	4	
5058	2	1	15001	1	11004	46	5	
5059	2	1	15002	1	11004	85	4	
5060	2	2	12001	1	11005	34	5	
5061	2	2	12002	1	11005	63	4	
5062	2	2	12001	1	11004	49	5	
5063	2	2	12002	1	11004	88	4	
5064	2	3	14001	1	11005	31	5	
5065	2	3	14002	1	11005	56	4	
5066	2	3	14001	1	11004	46	5	
5067	2	3	14002	1	11004	85	4	
5068	2	4	13001	1	11005	32	5	
5069	2	4	13002	1	11005	57	4	
5070	2	4	13001	1	11004	46	5	
5071	2	4	13002	1	11004	85	4	
5072	2	101	30001	1	0	0	1	
5073	2	101	18001	1	0	0	1	
5074	2	101	18002	1	0	0	1	
5075	2	101	18003	1	0	0	1	
5076	2	101	18004	1	0	0	1	
5077	2	151	30001	1	11002	115	5	
5078	2	151	30001	1	11002	120	5	
5079	2	151	30001	1	11002	110	5	
5080	2	151	30001	1	11002	120	5	
5081	2	152	18001	1	11002	80	5	
5082	2	152	18001	1	11002	85	7	
5083	2	152	18002	1	11002	85	5	
5084	2	152	18002	1	11002	85	7	
5085	2	152	18003	1	11002	90	5	
5086	2	152	18003	1	11002	95	7	
5087	2	153	18004	1	11002	100	3	
5088	2	153	18004	1	11002	100	2	
5089	2	153	36001	1	11003	30	1	
5090	2	153	36001	1	11003	30	1	
5091	2	200	11003	50	1	1	35	
5092	2	201	11002	300	1	1	35	
5093	2	202	11004	108	1	1	15	
5094	2	203	11005	78	1	1	15	
5095	2	300	18001	1	11003	10	5	
5096	2	300	18002	1	11003	11	5	
5097	2	300	18003	1	11003	12	5	
5098	2	300	18004	1	11003	13	3	
5099	2	300	18005	1	11003	14	3	
5100	2	300	18006	1	11003	16	3	
5101	2	301	31003	1	11003	20	3	
5102	2	301	32003	1	11003	21	3	
5103	2	301	33003	1	11003	22	3	
5104	2	301	34003	1	11003	25	3	
5105	2	302	35002	1	11003	25	3	
5106	2	302	37002	1	11003	26	3	
5107	2	302	38002	1	11003	26	3	
5108	2	302	39002	1	11003	23	3	
5109	2	302	40002	1	11003	23	3	
5110	2	303	36001	1	11003	25	2	
5111	2	303	36002	1	11003	26	2	
5112	2	303	36003	1	11003	27	2	
5113	2	303	36004	1	11003	27	2	
5114	2	303	36005	1	11003	27	2	
5115	3	1	15001	1	11005	31	5	
5116	3	1	15002	1	11005	56	4	
5117	3	1	15001	1	11004	46	5	
5118	3	1	15002	1	11004	85	4	
5119	3	2	12001	1	11005	34	5	
5120	3	2	12002	1	11005	63	4	
5121	3	2	12001	1	11004	49	5	
5122	3	2	12002	1	11004	88	4	
5123	3	3	14001	1	11005	31	5	
5124	3	3	14002	1	11005	56	4	
5125	3	3	14001	1	11004	46	5	
5126	3	3	14002	1	11004	85	4	
5127	3	4	13001	1	11005	32	5	
5128	3	4	13002	1	11005	57	4	
5129	3	4	13001	1	11004	46	5	
5130	3	4	13002	1	11004	85	4	
5131	3	101	30001	1	0	0	1	
5132	3	101	18001	1	0	0	1	
5133	3	101	18002	1	0	0	1	
5134	3	101	18003	1	0	0	1	
5135	3	101	18004	1	0	0	1	
5136	3	101	18006	1	0	0	1	
5137	3	101	18005	1	0	0	1	
5138	3	151	30001	1	11002	115	5	
5139	3	151	30001	1	11002	120	5	
5140	3	151	30001	1	11002	110	5	
5141	3	151	30001	1	11002	120	5	
5142	3	152	18001	1	11002	80	6	
5143	3	152	18001	1	11002	80	7	
5144	3	152	18002	1	11002	85	6	
5145	3	152	18002	1	11002	85	7	
5146	3	152	18003	1	11002	90	6	
5147	3	152	18003	1	11002	90	7	
5148	3	153	18004	1	11002	100	3	
5149	3	153	18004	1	11002	95	2	
5150	3	153	18006	1	11002	105	3	
5151	3	153	18006	1	11002	110	2	
5152	3	153	36001	1	11003	30	1	
5153	3	153	36001	1	11003	30	1	
5154	3	200	11003	50	1	1	35	
5155	3	201	11002	300	1	1	35	
5156	3	202	11004	108	1	1	15	
5157	3	203	11005	78	1	1	15	
5158	3	300	18001	1	11003	10	5	
5159	3	300	18002	1	11003	11	5	
5160	3	300	18003	1	11003	12	5	
5161	3	300	18004	1	11003	13	3	
5162	3	300	18005	1	11003	14	3	
5163	3	300	18006	1	11003	16	3	
5164	3	300	18007	1	11003	16	1	
5165	3	301	31003	1	11003	20	3	
5166	3	301	32003	1	11003	21	3	
5167	3	301	33003	1	11003	22	3	
5168	3	301	34003	1	11003	25	3	
5169	3	302	35002	1	11003	25	3	
5170	3	302	37002	1	11003	26	3	
5171	3	302	38002	1	11003	26	3	
5172	3	302	39002	1	11003	23	3	
5173	3	302	40002	1	11003	23	3	
5174	3	303	36001	1	11003	25	2	
5175	3	303	36002	1	11003	26	2	
5176	3	303	36003	1	11003	27	2	
5177	3	303	36004	1	11003	27	2	
5178	3	303	36005	1	11003	27	2	
5179	4	1	15001	1	11005	31	5	
5180	4	1	15002	1	11005	56	4	
5181	4	1	15001	1	11004	46	5	
5182	4	1	15002	1	11004	85	4	
5183	4	2	12001	1	11005	34	5	
5184	4	2	12002	1	11005	63	4	
5185	4	2	12001	1	11004	49	5	
5186	4	2	12002	1	11004	88	4	
5187	4	3	14001	1	11005	31	5	
5188	4	3	14002	1	11005	56	4	
5189	4	3	14001	1	11004	46	5	
5190	4	3	14002	1	11004	85	4	
5191	4	4	13001	1	11005	32	5	
5192	4	4	13002	1	11005	57	4	
5193	4	4	13001	1	11004	46	5	
5194	4	4	13002	1	11004	85	4	
5195	4	101	30001	1	0	0	1	
5196	4	101	18001	1	0	0	1	
5197	4	101	18002	1	0	0	1	
5198	4	101	18003	1	0	0	1	
5199	4	101	18004	1	0	0	1	
5200	4	101	18006	1	0	0	1	
5201	4	101	18005	1	0	0	1	
5202	4	151	30001	1	11002	115	5	
5203	4	151	30001	1	11002	120	5	
5204	4	151	30001	1	11002	110	5	
5205	4	151	30001	1	11002	120	5	
5206	4	152	18001	1	11002	80	7	
5207	4	152	18001	1	11002	80	8	
5208	4	152	18002	1	11002	85	7	
5209	4	152	18002	1	11002	85	8	
5210	4	152	18003	1	11002	90	7	
5211	4	152	18003	1	11002	90	8	
5212	4	153	18004	1	11002	95	3	
5213	4	153	18004	1	11002	95	2	
5214	4	153	18006	1	11002	100	3	
5215	4	153	18006	1	11002	100	2	
5216	4	153	18005	1	11002	105	3	
5217	4	153	18005	1	11002	105	2	
5218	4	153	36001	1	11003	30	1	
5219	4	153	36001	1	11003	30	1	
5220	4	200	11003	50	1	1	35	
5221	4	201	11002	300	1	1	35	
5222	4	202	11004	108	1	1	15	
5223	4	203	11005	78	1	1	15	
5224	4	300	18001	1	11003	10	5	
5225	4	300	18002	1	11003	11	5	
5226	4	300	18003	1	11003	12	5	
5227	4	300	18004	1	11003	13	3	
5228	4	300	18005	1	11003	14	3	
5229	4	300	18006	1	11003	16	3	
5230	4	300	18007	1	11003	16	1	
5231	4	301	31003	1	11003	20	3	
5232	4	301	32003	1	11003	21	3	
5233	4	301	33003	1	11003	22	3	
5234	4	301	34003	1	11003	25	3	
5235	4	302	35002	1	11003	25	3	
5236	4	302	37002	1	11003	26	3	
5237	4	302	38002	1	11003	26	3	
5238	4	302	39002	1	11003	23	3	
5239	4	302	40002	1	11003	23	3	
5240	4	303	36001	1	11003	25	2	
5241	4	303	36002	1	11003	26	2	
5242	4	303	36003	1	11003	27	2	
5243	4	303	36004	1	11003	27	2	
5244	4	303	36005	1	11003	27	2	
5245	5	1	15001	1	11005	31	5	
5246	5	1	15002	1	11005	56	4	
5247	5	1	15001	1	11004	46	5	
5248	5	1	15002	1	11004	85	4	
5249	5	2	12001	1	11005	34	5	
5250	5	2	12002	1	11005	63	4	
5251	5	2	12001	1	11004	49	5	
5252	5	2	12002	1	11004	88	4	
5253	5	3	14001	1	11005	31	5	
5254	5	3	14002	1	11005	56	4	
5255	5	3	14001	1	11004	46	5	
5256	5	3	14002	1	11004	85	4	
5257	5	4	13001	1	11005	32	5	
5258	5	4	13002	1	11005	57	4	
5259	5	4	13001	1	11004	46	5	
5260	5	4	13002	1	11004	85	4	
5261	5	101	30001	1	0	0	1	
5262	5	101	18001	1	0	0	1	
5263	5	101	18002	1	0	0	1	
5264	5	101	18003	1	0	0	1	
5265	5	101	18004	1	0	0	1	
5266	5	101	18006	1	0	0	1	
5267	5	101	18005	1	0	0	1	
5268	5	151	30001	1	11002	115	5	
5269	5	151	30001	1	11002	120	5	
5270	5	151	30001	1	11002	110	5	
5271	5	151	30001	1	11002	120	5	
5272	5	152	18001	1	11002	80	7	
5273	5	152	18001	1	11002	80	8	
5274	5	152	18002	1	11002	85	7	
5275	5	152	18002	1	11002	85	8	
5276	5	152	18003	1	11002	90	7	
5277	5	152	18003	1	11002	90	8	
5278	5	152	18004	1	11002	95	3	
5279	5	152	18004	1	11002	95	3	
5280	5	153	18006	1	11002	100	3	
5281	5	153	18006	1	11002	100	2	
5282	5	153	18005	1	11002	105	3	
5283	5	153	18005	1	11002	105	2	
5284	5	153	36001	1	11003	30	1	
5285	5	153	36001	1	11003	30	1	
5286	5	200	11003	50	1	1	35	
5287	5	201	11002	300	1	1	35	
5288	5	202	11004	108	1	1	15	
5289	5	203	11005	78	1	1	15	
5290	5	300	18001	1	11003	10	5	
5291	5	300	18002	1	11003	11	5	
5292	5	300	18003	1	11003	12	5	
5293	5	300	18004	1	11003	13	3	
5294	5	300	18005	1	11003	14	3	
5295	5	300	18006	1	11003	16	3	
5296	5	300	18007	1	11003	16	1	
5297	5	301	31003	1	11003	20	3	
5298	5	301	32003	1	11003	21	3	
5299	5	301	33003	1	11003	22	3	
5300	5	301	34003	1	11003	25	3	
5301	5	302	35002	1	11003	25	3	
5302	5	302	37002	1	11003	26	3	
5303	5	302	38002	1	11003	26	3	
5304	5	302	39002	1	11003	23	3	
5305	5	302	40002	1	11003	23	3	
5306	5	303	36001	1	11003	25	2	
5307	5	303	36002	1	11003	26	2	
5308	5	303	36003	1	11003	27	2	
5309	5	303	36004	1	11003	27	2	
5310	5	303	36005	1	11003	27	2	
5311	5	303	25001	1	11003	25	10	
5312	5	303	25001	1	11003	25	10	
5313	5	303	25001	1	11003	25	10	
5314	6	1	15001	1	11005	31	5	
5315	6	1	15002	1	11005	56	4	
5316	6	1	15001	1	11004	46	5	
5317	6	1	15002	1	11004	85	4	
5318	6	2	12001	1	11005	34	5	
5319	6	2	12002	1	11005	63	4	
5320	6	2	12001	1	11004	49	5	
5321	6	2	12002	1	11004	88	4	
5322	6	3	14001	1	11005	31	5	
5323	6	3	14002	1	11005	56	4	
5324	6	3	14001	1	11004	46	5	
5325	6	3	14002	1	11004	85	4	
5326	6	4	13001	1	11005	32	5	
5327	6	4	13002	1	11005	57	4	
5328	6	4	13001	1	11004	46	5	
5329	6	4	13002	1	11004	85	4	
5330	6	101	30001	1	0	0	1	
5331	6	101	18001	1	0	0	1	
5332	6	101	18002	1	0	0	1	
5333	6	101	18003	1	0	0	1	
5334	6	101	18004	1	0	0	1	
5335	6	101	18006	1	0	0	1	
5336	6	101	18005	1	0	0	1	
5337	6	151	30001	1	11002	115	5	
5338	6	151	30001	1	11002	120	5	
5339	6	151	30001	1	11002	110	5	
5340	6	151	30001	1	11002	120	5	
5341	6	152	18001	1	11002	80	7	
5342	6	152	18001	1	11002	80	8	
5343	6	152	18002	1	11002	85	7	
5344	6	152	18002	1	11002	85	8	
5345	6	152	18003	1	11002	90	7	
5346	6	152	18003	1	11002	90	8	
5347	6	152	18004	1	11002	95	3	
5348	6	152	18004	1	11002	95	3	
5349	6	152	18006	1	11002	100	3	
5350	6	152	18006	1	11002	100	3	
5351	6	153	18005	1	11002	105	3	
5352	6	153	18005	1	11002	105	3	
5353	6	153	18007	1	11002	110	1	
5354	6	153	18007	1	11002	110	1	
5355	6	153	36001	1	11003	30	1	
5356	6	153	36001	1	11003	30	1	
5357	6	200	11003	50	1	1	35	
5358	6	201	11002	300	1	1	35	
5359	6	202	11004	108	1	1	15	
5360	6	203	11005	78	1	1	15	
5361	6	300	18001	1	11003	10	5	
5362	6	300	18002	1	11003	11	5	
5363	6	300	18003	1	11003	12	5	
5364	6	300	18004	1	11003	13	3	
5365	6	300	18005	1	11003	14	3	
5366	6	300	18006	1	11003	16	3	
5367	6	300	18007	1	11003	16	1	
5368	6	301	31003	1	11003	20	3	
5369	6	301	32003	1	11003	21	3	
5370	6	301	33003	1	11003	22	3	
5371	6	301	34003	1	11003	25	3	
5372	6	302	35002	1	11003	25	3	
5373	6	302	37002	1	11003	26	3	
5374	6	302	38002	1	11003	26	3	
5375	6	302	39002	1	11003	23	3	
5376	6	302	40002	1	11003	23	3	
5377	6	303	36001	1	11003	25	2	
5378	6	303	36002	1	11003	26	2	
5379	6	303	36003	1	11003	27	2	
5380	6	303	36004	1	11003	27	2	
5381	6	303	36005	1	11003	27	2	
5382	6	303	25001	1	11003	25	10	
5383	6	303	25001	1	11003	25	10	
5384	6	303	25001	1	11003	25	10	
5385	7	1	15001	1	11005	31	5	
5386	7	1	15002	1	11005	56	4	
5387	7	1	15001	1	11004	46	5	
5388	7	1	15002	1	11004	85	4	
5389	7	2	12001	1	11005	34	5	
5390	7	2	12002	1	11005	63	4	
5391	7	2	12001	1	11004	49	5	
5392	7	2	12002	1	11004	88	4	
5393	7	3	14001	1	11005	31	5	
5394	7	3	14002	1	11005	56	4	
5395	7	3	14001	1	11004	46	5	
5396	7	3	14002	1	11004	85	4	
5397	7	4	13001	1	11005	32	5	
5398	7	4	13002	1	11005	57	4	
5399	7	4	13001	1	11004	46	5	
5400	7	4	13002	1	11004	85	4	
5401	7	101	30001	1	0	0	1	
5402	7	101	18001	1	0	0	1	
5403	7	101	18002	1	0	0	1	
5404	7	101	18003	1	0	0	1	
5405	7	101	18004	1	0	0	1	
5406	7	101	18006	1	0	0	1	
5407	7	101	18005	1	0	0	1	
5408	7	151	30001	1	11002	115	5	
5409	7	151	30001	1	11002	120	5	
5410	7	151	30001	1	11002	110	5	
5411	7	151	30001	1	11002	120	5	
5412	7	152	18001	1	11002	80	7	
5413	7	152	18001	1	11002	80	8	
5414	7	152	18002	1	11002	85	7	
5415	7	152	18002	1	11002	85	8	
5416	7	152	18003	1	11002	90	7	
5417	7	152	18003	1	11002	90	8	
5418	7	152	18004	1	11002	95	3	
5419	7	152	18004	1	11002	95	3	
5420	7	152	18006	1	11002	100	3	
5421	7	152	18006	1	11002	100	3	
5422	7	153	18005	1	11002	105	3	
5423	7	153	18005	1	11002	105	3	
5424	7	153	18007	1	11002	110	1	
5425	7	153	18007	1	11002	110	1	
5426	7	153	36001	1	11003	30	1	
5427	7	153	36001	1	11003	30	1	
5428	7	200	11003	50	1	1	35	
5429	7	201	11002	300	1	1	35	
5430	7	202	11004	108	1	1	15	
5431	7	203	11005	78	1	1	15	
5432	7	300	18001	1	11003	10	5	
5433	7	300	18002	1	11003	11	5	
5434	7	300	18003	1	11003	12	5	
5435	7	300	18004	1	11003	13	3	
5436	7	300	18005	1	11003	14	3	
5437	7	300	18006	1	11003	16	3	
5438	7	300	18007	1	11003	16	1	
5439	7	301	31003	1	11003	20	3	
5440	7	301	32003	1	11003	21	3	
5441	7	301	33003	1	11003	22	3	
5442	7	301	34003	1	11003	25	3	
5443	7	302	35002	1	11003	25	3	
5444	7	302	37002	1	11003	26	3	
5445	7	302	38002	1	11003	26	3	
5446	7	302	39002	1	11003	23	3	
5447	7	302	40002	1	11003	23	3	
5448	7	303	36001	1	11003	25	2	
5449	7	303	36002	1	11003	26	2	
5450	7	303	36003	1	11003	27	2	
5451	7	303	36004	1	11003	27	2	
5452	7	303	36005	1	11003	27	2	
5453	7	303	25001	1	11003	25	10	
5454	7	303	25001	1	11003	25	10	
5455	7	303	25001	1	11003	25	10	
5456	8	1	15001	1	11005	31	5	
5457	8	1	15002	1	11005	56	4	
5458	8	1	15001	1	11004	46	5	
5459	8	1	15002	1	11004	85	4	
5460	8	2	12001	1	11005	34	5	
5461	8	2	12002	1	11005	63	4	
5462	8	2	12001	1	11004	49	5	
5463	8	2	12002	1	11004	88	4	
5464	8	3	14001	1	11005	31	5	
5465	8	3	14002	1	11005	56	4	
5466	8	3	14001	1	11004	46	5	
5467	8	3	14002	1	11004	85	4	
5468	8	4	13001	1	11005	32	5	
5469	8	4	13002	1	11005	57	4	
5470	8	4	13001	1	11004	46	5	
5471	8	4	13002	1	11004	85	4	
5472	8	101	30001	1	0	0	1	
5473	8	101	18001	1	0	0	1	
5474	8	101	18002	1	0	0	1	
5475	8	101	18003	1	0	0	1	
5476	8	101	18004	1	0	0	1	
5477	8	101	18006	1	0	0	1	
5478	8	101	18005	1	0	0	1	
5479	8	151	30001	1	11002	115	5	
5480	8	151	30001	1	11002	120	5	
5481	8	151	30001	1	11002	110	5	
5482	8	151	30001	1	11002	120	5	
5483	8	152	18001	1	11002	80	7	
5484	8	152	18001	1	11002	80	8	
5485	8	152	18002	1	11002	85	7	
5486	8	152	18002	1	11002	85	8	
5487	8	152	18003	1	11002	90	7	
5488	8	152	18003	1	11002	90	8	
5489	8	152	18004	1	11002	95	3	
5490	8	152	18004	1	11002	95	3	
5491	8	152	18006	1	11002	100	3	
5492	8	152	18006	1	11002	100	3	
5493	8	152	18005	1	11002	105	3	
5494	8	152	18005	1	11002	105	3	
5495	8	153	18007	1	11002	110	1	
5496	8	153	18007	1	11002	110	1	
5497	8	153	36001	1	11003	30	1	
5498	8	153	36001	1	11003	30	1	
5499	8	200	11003	50	1	1	35	
5500	8	201	11002	300	1	1	35	
5501	8	202	11004	108	1	1	15	
5502	8	203	11005	78	1	1	15	
5503	8	300	18001	1	11003	10	5	
5504	8	300	18002	1	11003	11	5	
5505	8	300	18003	1	11003	12	5	
5506	8	300	18004	1	11003	13	3	
5507	8	300	18005	1	11003	14	3	
5508	8	300	18006	1	11003	16	3	
5509	8	300	18007	1	11003	16	1	
5510	8	301	31003	1	11003	20	3	
5511	8	301	32003	1	11003	21	3	
5512	8	301	33003	1	11003	22	3	
5513	8	301	34003	1	11003	25	3	
5514	8	302	35002	1	11003	25	3	
5515	8	302	37002	1	11003	26	3	
5516	8	302	38002	1	11003	26	3	
5517	8	302	39002	1	11003	23	3	
5518	8	302	40002	1	11003	23	3	
5519	8	303	36001	1	11003	25	2	
5520	8	303	36002	1	11003	26	2	
5521	8	303	36003	1	11003	27	2	
5522	8	303	36004	1	11003	27	2	
5523	8	303	36005	1	11003	27	2	
5524	8	303	25001	1	11003	25	10	
5525	8	303	25001	1	11003	25	10	
5526	8	303	25001	1	11003	25	10	
5527	9	1	15001	1	11005	31	5	
5528	9	1	15002	1	11005	56	4	
5529	9	1	15001	1	11004	46	5	
5530	9	1	15002	1	11004	85	4	
5531	9	2	12001	1	11005	34	5	
5532	9	2	12002	1	11005	63	4	
5533	9	2	12001	1	11004	49	5	
5534	9	2	12002	1	11004	88	4	
5535	9	3	14001	1	11005	31	5	
5536	9	3	14002	1	11005	56	4	
5537	9	3	14001	1	11004	46	5	
5538	9	3	14002	1	11004	85	4	
5539	9	4	13001	1	11005	32	5	
5540	9	4	13002	1	11005	57	4	
5541	9	4	13001	1	11004	46	5	
5542	9	4	13002	1	11004	85	4	
5543	9	101	30001	1	0	0	1	
5544	9	101	18001	1	0	0	1	
5545	9	101	18002	1	0	0	1	
5546	9	101	18003	1	0	0	1	
5547	9	101	18004	1	0	0	1	
5548	9	101	18006	1	0	0	1	
5549	9	101	18005	1	0	0	1	
5550	9	151	30001	1	11002	115	5	
5551	9	151	30001	1	11002	120	5	
5552	9	151	30001	1	11002	110	5	
5553	9	151	30001	1	11002	120	5	
5554	9	152	18001	1	11002	80	7	
5555	9	152	18001	1	11002	80	8	
5556	9	152	18002	1	11002	85	7	
5557	9	152	18002	1	11002	85	8	
5558	9	152	18003	1	11002	90	7	
5559	9	152	18003	1	11002	90	8	
5560	9	152	18004	1	11002	95	3	
5561	9	152	18004	1	11002	95	3	
5562	9	152	18006	1	11002	100	3	
5563	9	152	18006	1	11002	100	3	
5564	9	152	18005	1	11002	105	3	
5565	9	152	18005	1	11002	105	3	
5566	9	153	18007	1	11002	110	2	
5567	9	153	18007	1	11002	110	2	
5568	9	153	36001	1	11003	30	1	
5569	9	153	36001	1	11003	30	1	
5570	9	200	11003	50	1	1	35	
5571	9	201	11002	300	1	1	35	
5572	9	202	11004	108	1	1	15	
5573	9	203	11005	78	1	1	15	
5574	9	300	18001	1	11003	10	5	
5575	9	300	18002	1	11003	11	5	
5576	9	300	18003	1	11003	12	5	
5577	9	300	18004	1	11003	13	3	
5578	9	300	18005	1	11003	14	3	
5579	9	300	18006	1	11003	16	3	
5580	9	300	18007	1	11003	16	1	
5581	9	301	31003	1	11003	20	3	
5582	9	301	32003	1	11003	21	3	
5583	9	301	33003	1	11003	22	3	
5584	9	301	34003	1	11003	25	3	
5585	9	302	35002	1	11003	25	3	
5586	9	302	37002	1	11003	26	3	
5587	9	302	38002	1	11003	26	3	
5588	9	303	36001	1	11003	25	2	
5589	9	303	36002	1	11003	26	2	
5590	9	303	36003	1	11003	27	2	
5591	9	303	36004	1	11003	27	2	
5592	9	303	36005	1	11003	27	2	
5593	9	303	25001	1	11003	25	10	
5594	9	303	25001	1	11003	25	10	
5595	9	303	25001	1	11003	25	10	
5596	10	1	15001	1	11005	31	5	
5597	10	1	15002	1	11005	56	4	
5598	10	1	15001	1	11004	46	5	
5599	10	1	15002	1	11004	85	4	
5600	10	2	12001	1	11005	34	5	
5601	10	2	12002	1	11005	63	4	
5602	10	2	12001	1	11004	49	5	
5603	10	2	12002	1	11004	88	4	
5604	10	3	14001	1	11005	31	5	
5605	10	3	14002	1	11005	56	4	
5606	10	3	14001	1	11004	46	5	
5607	10	3	14002	1	11004	85	4	
5608	10	4	13001	1	11005	32	5	
5609	10	4	13002	1	11005	57	4	
5610	10	4	13001	1	11004	46	5	
5611	10	4	13002	1	11004	85	4	
5612	10	101	30001	1	11002	0	1	
5613	10	101	18001	1	11002	0	1	
5614	10	101	18002	1	11002	0	1	
5615	10	101	18003	1	11002	0	1	
5616	10	101	18004	1	11002	0	1	
5617	10	101	18006	1	11002	0	1	
5618	10	101	18005	1	11002	0	1	
5619	10	151	30001	1	11002	115	5	
5620	10	151	30001	1	11002	120	5	
5621	10	151	30001	1	11002	110	5	
5622	10	151	30001	1	11002	120	5	
5623	10	152	18001	1	11002	80	7	
5624	10	152	18001	1	11002	80	8	
5625	10	152	18002	1	11002	85	7	
5626	10	152	18002	1	11002	85	8	
5627	10	152	18003	1	11002	90	7	
5628	10	152	18003	1	11002	90	8	
5629	10	152	18004	1	11002	95	3	
5630	10	152	18004	1	11002	95	3	
5631	10	152	18006	1	11002	100	3	
5632	10	152	18006	1	11002	100	3	
5633	10	152	18005	1	11002	105	3	
5634	10	152	18005	1	11002	105	3	
5635	10	153	18007	1	11002	110	2	
5636	10	153	18007	1	11002	110	2	
5637	10	153	36001	1	11003	30	1	
5638	10	153	36001	1	11003	30	1	
5639	10	200	11003	50	1	1	35	
5640	10	201	11002	300	1	1	35	
5641	10	202	11004	108	1	1	15	
5642	10	203	11005	78	1	1	15	
5643	10	300	18001	1	11003	10	5	
5644	10	300	18002	1	11003	11	5	
5645	10	300	18003	1	11003	12	5	
5646	10	300	18004	1	11003	13	3	
5647	10	300	18005	1	11003	14	3	
5648	10	300	18006	1	11003	16	3	
5649	10	300	18007	1	11003	16	1	
5650	10	301	31003	1	11003	20	3	
5651	10	301	32003	1	11003	21	3	
5652	10	301	33003	1	11003	22	3	
5653	10	301	34003	1	11003	25	3	
5654	10	302	35002	1	11003	25	3	
5655	10	302	37002	1	11003	26	3	
5656	10	302	38002	1	11003	26	3	
5657	10	303	36001	1	11003	25	2	
5658	10	303	36002	1	11003	26	2	
5659	10	303	36003	1	11003	27	2	
5660	10	303	36004	1	11003	27	2	
5661	10	303	36005	1	11003	27	2	
5662	10	303	25001	1	11003	25	10	
5663	10	303	25001	1	11003	25	10	
5664	10	303	25001	1	11003	25	10	
5665	11	1	15001	1	11005	31	5	
5666	11	1	15002	1	11005	56	4	
5667	11	1	15001	1	11004	46	5	
5668	11	1	15002	1	11004	85	4	
5669	11	2	12001	1	11005	34	5	
5670	11	2	12002	1	11005	63	4	
5671	11	2	12001	1	11004	49	5	
5672	11	2	12002	1	11004	88	4	
5673	11	3	14001	1	11005	31	5	
5674	11	3	14002	1	11005	56	4	
5675	11	3	14001	1	11004	46	5	
5676	11	3	14002	1	11004	85	4	
5677	11	4	13001	1	11005	32	5	
5678	11	4	13002	1	11005	57	4	
5679	11	4	13001	1	11004	46	5	
5680	11	4	13002	1	11004	85	4	
5681	11	101	30001	1	11002	0	1	
5682	11	101	18001	1	11002	0	1	
5683	11	101	18002	1	11002	0	1	
5684	11	101	18003	1	11002	0	1	
5685	11	101	18004	1	11002	0	1	
5686	11	101	18006	1	11002	0	1	
5687	11	101	18005	1	11002	0	1	
5688	11	151	30001	1	11002	115	5	
5689	11	151	30001	1	11002	120	5	
5690	11	151	30001	1	11002	110	5	
5691	11	151	30001	1	11002	120	5	
5692	11	152	18001	1	11002	80	7	
5693	11	152	18001	1	11002	80	8	
5694	11	152	18002	1	11002	85	7	
5695	11	152	18002	1	11002	85	8	
5696	11	152	18003	1	11002	90	7	
5697	11	152	18003	1	11002	90	8	
