heroid	name	dec	arms	hero_type	occupation	lv	nextLv	nextNeedItem	nextNeedSort	icon	color	attack_type	attack_anim_time	fly_weapon_name	fly_weapon_time	fly_weapon_position_array	attack_interval	hit_name	get_merge_audio	attack_audio	skill_audio	death_audio	success_audio	defense	attack	hp	range	search_range	speed	battle	souls	quantity	itemType	itemNum	reward	num	price	barracks	unlock	sort	sequence	skill_id	passive_skill_array	passive_skill_id	passive_skill_id	passive_skill_id	
46002	"Nhân Mã Chiến Kị"	""	20	0	5	2	46003	46002	23018	46002	3	2	11300	fly_3	5900	-129,84|75,158	12000	hit	""	61_40001	129_46000	98_46000_death	99_46000_success	50	680	6330	100	340	60	1	22004	1	45001	2	0	0	18	1	0	0	108	70018	0|1|3	0	0	0	
46003	"Nhân Mã Chiến Kị"	""	20	0	5	3	0	0	0	46003	4	2	11300	fly_4	5900	-129,84|75,158	12000	hit	""	61_40002	129_46000	98_46000_death	99_46000_success	60	800	7590	100	340	60	1	22005	1	45002	2	0	0	22	1	0	0	109	70018	0|1|3	0	0	0	
47001	"Đảo Xanh Ảo Giác"	""	0	0	0	1	0	0	0	47001	1	1	0	""	0	0,0|0,0	0	hit	""	""	""	""	""	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0|1|3	0	0	0	
48001	"Đảo Vàng Ảo Giác"	""	0	0	0	2	0	0	0	48001	1	1	0	""	0	0,0|0,0	0	hit	""	""	""	""	""	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0|1|3	0	0	0	
49001	"Đảo Hồng Ảo Giác"	""	0	0	0	3	0	0	0	49001	1	1	0	""	0	0,0|0,0	0	hit	""	""	""	""	""	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0|1|3	0	0	0	
50001	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	230	2800	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0|1|3	0	0	0	
50002	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	280	3500	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0|1|3	0	0	0	
50003	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	350	4300	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70004	0|1|3	0	0	0	
50004	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	420	5500	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70003	0|1|3	0	0	0	
50005	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	600	6800	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50006	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	750	7600	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50007	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	850	9600	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50008	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	900	10600	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50009	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	950	11800	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50010	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	1000	12600	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50011	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	1050	13400	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50012	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	1100	15800	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
50013	"Quái Vật Hang Động"	""	0	0	1	1	0	0	0	50001	3	1	7000	""	3000	-71,44|-50,44	15000	hit	""	22_50000	""	""	""	0	1150	18400	130	400	60	1	0	0	0	0	0	0	0	0	0	0	0	70006	0|1|3	0	0	0	
70001	"Đại Sư Gấu Trúc"	"Đại sư gấu trúc là một võ sư kungfu trên hòn đảo, sở hữu những kỹ năng biến hóa khôn lường, danh tiếng vang xa!."	0	1	2	1	70002	70001	0	70001	2	2	8300	fly_11	3600	-46,107|81,140	17000	hit_11	169_70001	166_70001	167_70001	106_37000_death	107_37000_success	50	700	9000	180	300	45	1	0	0	0	0	0	0	0	1	0	0	10	75101	0|1|3	0	0	0	
70002	"Đại Sư Gấu Trúc"	"Đại sư gấu trúc là một võ sư kungfu trên hòn đảo, sở hữu những kỹ năng biến hóa khôn lường, danh tiếng vang xa!."	0	1	2	2	70003	70002	0	70002	3	2	8300	fly_12	3600	-46,107|81,140	17000	hit_11	169_70001	166_70001	167_70001	106_37000_death	107_37000_success	60	800	11000	180	300	45	1	0	0	70001	2	0	0	0	1	0	0	7	75101	0|1|3	0	0	0	
70003	"Đại Sư Gấu Trúc"	"Đại sư gấu trúc là một võ sư kungfu trên hòn đảo, sở hữu những kỹ năng biến hóa khôn lường, danh tiếng vang xa!."	0	1	2	3	70004	70003	0	70003	4	2	8300	fly_13	3600	-46,107|81,140	17000	hit_11	169_70001	166_70001	167_70001	106_37000_death	107_37000_success	70	900	13000	180	300	45	1	0	0	70002	2	0	0	0	1	0	0	4	75101	1|1|3	75102	0	0	
70004	"Đại Sư Gấu Trúc"	"Đại sư gấu trúc là một võ sư kungfu trên hòn đảo, sở hữu những kỹ năng biến hóa khôn lường, danh tiếng vang xa!."	0	1	2	4	0	0	0	70004	4	2	8300	fly_14	3600	-46,107|81,140	17000	hit_11	169_70001	166_70001	167_70001	106_37000_death	107_37000_success	80	1000	15000	180	300	45	1	0	0	70003	2	0	0	0	1	0	0	1	75101	1|1|3	75102	0	0	
70011	"Ngư Nữ Tiên Tử"	"Ngư Nữ Tiên Tử là nữ tư tế của hòn đảo, chuyên bói toán và ban phước lành cho biển cả."	0	1	2	1	70012	70011	0	70011	2	2	""	""	""	""	""	""	""	""	""	""	""	50	700	9000	180	300	45	1	0	0	0	0	0	0	0	1	0	0	11	75701	0|1|3	0	0	0	
70012	"Ngư Nữ Tiên Tử"	"Ngư Nữ Tiên Tử là nữ tư tế của hòn đảo, chuyên bói toán và ban phước lành cho biển cả."	0	1	2	2	70013	70012	0	70012	3	2	""	""	""	""	""	""	""	""	""	""	""	60	800	11000	180	300	45	1	0	0	70011	2	0	0	0	1	0	0	8	75701	0|1|3	0	0	0	
70013	"Ngư Nữ Tiên Tử"	"Ngư Nữ Tiên Tử là nữ tư tế của hòn đảo, chuyên bói toán và ban phước lành cho biển cả."	0	1	2	3	70014	70013	0	70013	4	2	""	""	""	""	""	""	""	""	""	""	""	70	900	13000	180	300	45	1	0	0	70012	2	0	0	0	1	0	0	5	75701	0|1|3	0	0	0	
70014	"Ngư Nữ Tiên Tử"	"Ngư Nữ Tiên Tử là nữ tư tế của hòn đảo, chuyên bói toán và ban phước lành cho biển cả."	0	1	2	4	0	0	0	70014	4	2	""	""	""	""	""	""	""	""	""	""	""	80	1000	15000	180	300	45	1	0	0	70013	2	0	0	0	1	0	0	2	75701	0|1|3	0	0	0	
70021	"Gào Thét Long"	"Gào Thét Long là thần thú hộ vệ của hòn đảo, bảo vệ sự bình yên và an ổn cho nơi này."	0	1	2	1	70022	70021	0	70021	2	2	""	""	""	""	""	""	""	""	""	""	""	50	700	9000	180	300	45	1	0	0	0	0	0	0	0	1	0	0	12	75801	0|1|3	0	0	0	
70022	"Gào Thét Long"	"Gào Thét Long là thần thú hộ vệ của hòn đảo, bảo vệ sự bình yên và an ổn cho nơi này."	0	1	2	2	70023	70022	0	70022	3	2	""	""	""	""	""	""	""	""	""	""	""	60	800	11000	180	300	45	1	0	0	70021	2	0	0	0	1	0	0	9	75801	0|1|3	0	0	0	
70023	"Gào Thét Long"	"Gào Thét Long là thần thú hộ vệ của hòn đảo, bảo vệ sự bình yên và an ổn cho nơi này."	0	1	2	3	70024	70023	0	70023	4	2	""	""	""	""	""	""	""	""	""	""	""	70	900	13000	180	300	45	1	0	0	70022	2	0	0	0	1	0	0	6	75801	0|1|3	0	0	0	
70024	"Gào Thét Long"	"Gào Thét Long là thần thú hộ vệ của hòn đảo, bảo vệ sự bình yên và an ổn cho nơi này."	0	1	2	4	0	0	0	70024	4	2	""	""	""	""	""	""	""	""	""	""	""	80	1000	15000	180	300	45	1	0	0	70023	2	0	0	0	1	0	0	3	75801	0|1|3	0	0	0	
71101	"Pháo Phòng Ngự"	"Pháo Đài Phòng Thủ Hải Đảo, bảo vệ khu vực và ngăn chặn sự xâm lược của kẻ địch."	0	2	12	1	71102	71101	0	71101	2	2	10000	fly_15	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	50	150	4500	300	340	0	1	0	0	0	0	0	0	0	1	0	0	0	75301	0|1|3	0	0	0	
71102	"Pháo Phòng Ngự"	"Pháo Đài Phòng Thủ Hải Đảo, bảo vệ khu vực và ngăn chặn sự xâm lược của kẻ địch."	0	2	12	2	71103	71102	0	71101	3	2	10000	fly_15	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	60	180	6000	310	340	0	1	0	0	71101	2	0	0	0	1	0	0	0	75301	0|1|3	0	0	0	
71103	"Pháo Phòng Ngự"	"Pháo Đài Phòng Thủ Hải Đảo, bảo vệ khu vực và ngăn chặn sự xâm lược của kẻ địch."	0	2	12	3	71104	71103	0	71101	4	2	10000	fly_15	4000	0,0|0,0	25000	hit_12	169_70001	168_71101	168_71101	""	""	70	210	7500	320	340	0	1	0	0	71102	2	0	0	0	1	0	0	0	75301	0|1|3	0	0	0	
