buildID	buildType	buildName	model	anim_name	nextBuildID	buildLv	hp	defense	attack	attack_range	attack_interval	fly_weapon_name	call	rate	currency	capacity	consume	num	star	coin	material	quantity	lock	cellID	showAreaID	lockAreaID	activeCellID	xoffset	offset	reward	amount	
51007	1	"Lâu Đài"	51005	""	51008	7	12480	80	130	155	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	135|285|1|860|65	8	26	12001	1	36	0	0	11	0	2	24	11006|11003	5|2	
51008	1	"Lâu Đài"	51005	""	51009	8	13440	90	140	160	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	145|405|2|960|75	9	27	12001	1	42	0	0	0	0	2	24	11006|11003	5|2	
51009	1	"Lâu Đài"	51005	""	51010	9	15300	100	150	165	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	185|440|2|1125|85	10	28	12001	1	48	0	0	0	0	2	24	11006|11003	5|2	
51010	1	"Lâu Đài"	51005	""	51011	10	16320	110	160	170	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	265|455|2|1350|95	11	29	12001	1	54	0	0	0	0	2	24	11006|11003	5|2	
51011	1	"Lâu Đài"	51005	""	51012	11	18360	120	170	175	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	285|415|3|1300|105	12	30	12001	1	60	0	0	0	0	2	24	11006|11003	5|2	
51012	1	"Lâu Đài"	51005	""	51013	12	19800	130	180	180	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	290|435|3|1350|110	13	31	12001	1	65	0	0	0	0	2	24	11006|11003	5|2	
51013	1	"Lâu Đài"	51005	""	51014	13	22800	140	190	185	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	280|455|4|1450|115	14	32	12001	1	71	0	0	0	0	2	24	11006|11003	5|2	
51014	1	"Lâu Đài"	51005	""	51015	14	24700	150	200	190	25000	fly_2	600	0	0	0	11004|11005|12008|11002|25001	1000|500|5|1660|120	15	33	12001	1	77	0	0	0	0	2	24	11006|11003	5|2	
51015	1	"Lâu Đài"	51005	""	0	15	28000	160	210	195	25000	fly_2	600	0	0	0	0	0	16	34	12001	1	0	0	0	0	0	2	24	0	0	
52000	2	"Trại Lính"	52000	""	52001	0	0	0	0	0	25000	fly_2	0	23001	0	0	11004|14001|11002	10|1|25	0	0	0	0	2	0	0	0	130	2	7	11003	1	
52001	2	"Trại Lính"	52001	""	52002	1	3500	20	20	100	25000	fly_2	500	23002	0	0	11004|11005|14003|11002	80|31|1|105	1	3	14001	1	9	0	0	0	0	2	7	11003	2	
52002	2	"Trại Lính"	52002	""	52003	2	4200	30	40	110	25000	fly_2	500	23003	0	0	11004|11005|14004|11002|25001	115|100|1|225|5	2	3	14001	1	12	0	0	0	0	0	12	11006|11003	5|2	
52003	2	"Trại Lính"	52003	""	52004	3	6175	40	60	120	25000	fly_2	500	23004	0	0	11004|11005|13005|11002|25001	105|135|1|305|20	3	4	14001	1	19	0	0	0	0	0	18	11006|11003	5|2	
52004	2	"Trại Lính"	52004	""	52005	4	7700	50	80	130	25000	fly_2	500	23005|23006	0	0	11004|11005|14005|11002|25001	225|125|1|430|30	3	4	14001	1	25	0	0	0	0	-1	21	11006|11003	5|2	
52005	2	"Trại Lính"	52005	""	52006	5	9375	60	100	140	25000	fly_2	500	23007	0	0	11004|11005|14006|11002|25001	115|185|1|570|40	3	5	14001	1	29	0	0	0	0	-1	21	11006|11003	5|2	
52006	2	"Trại Lính"	52005	""	52007	6	11200	70	120	150	25000	fly_2	500	23008|23009	0	0	11004|11005|14007|11002|25001	110|235|1|725|50	4	5	14001	1	40	0	0	0	0	-1	21	11006|11003	5|2	
52007	2	"Trại Lính"	52005	""	52008	7	12400	80	130	155	25000	fly_2	500	23010|23011	0	0	11004|11005|14008|11002|25001	290|125|1|840|60	4	5	14001	1	51	0	0	0	0	-1	21	11006|11003	5|2	
52008	2	"Trại Lính"	52005	""	52009	8	14365	90	140	160	25000	fly_2	500	23012|23013	0	0	11004|11005|14008|11002|25001	185|345|2|980|70	4	5	14001	1	66	0	0	0	0	-1	21	11006|11003	5|2	
52009	2	"Trại Lính"	52005	""	52010	9	15725	100	150	165	25000	fly_2	500	0	0	0	11004|11005|14008|11002|25001	445|200|3|1285|80	5	5	14001	1	73	0	0	0	0	-1	21	11006|11003	5|2	
52010	2	"Trại Lính"	52005	""	0	10	18090	110	160	170	25000	fly_2	500	0	0	0	0	0	5	6	14001	1	0	0	0	0	0	-1	21	0	0	
53000	3	"Nhà Dân"	53000	""	53001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15003|11002	60|31|1|75	0	0	0	0	7	0	0	0	251	0	4	11003	1	
53001	3	"Nhà Dân"	53001	""	53002	1	1350	10	0	0	0	""	400	1|30	11002	20	11004|11005|15005|11002	80|45|1|125	1	1	15001	1	17	0	0	6	0	0	4	11006|11003	4|1	
53002	3	"Nhà Dân"	53002	""	53003	2	1620	30	0	0	0	""	400	2|30	11002	24	11004|11005|15005|11002|25001	95|135|1|280|8	2	1	15001	1	23	0	0	0	0	-2	4	11006|11003	5|2	
53003	3	"Nhà Dân"	53003	""	53004	3	3315	50	0	0	0	""	400	3|30	11002	30	11004|11005|15006|11002|25001	125|175|1|570|35	3	1	15001	1	35	0	0	0	0	-2	6	11006|11003	5|2	
53004	3	"Nhà Dân"	53004	""	53005	4	5530	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53005	3	"Nhà Dân"	53004	""	0	5	7575	40	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53006	3	"Nhà Dân"	53004	""	0	6	7760	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53007	3	"Nhà Dân"	53004	""	0	7	9520	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53008	3	"Nhà Dân"	53004	""	0	8	11305	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53009	3	"Nhà Dân"	53004	""	0	9	13345	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	11006|11003	5|2	
53010	3	"Nhà Dân"	53004	""	0	10	15030	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	-2	9	0	0	
53100	31	"Bàn thờ Hải thần"	53100	""	53101	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15003|11002	45|65|1|125	0	0	0	0	10	0	0	0	136	-1	18	11003	1	
53101	31	"Bàn thờ Hải thần"	53101	""	53102	1	1350	10	0	0	0	""	400	1|60	22001	5	11004|11005|15006|11002	95|60|1|450	1	1	22001	1	30	0	0	0	0	-1	18	11006|11003	4|2	
53102	31	"Bàn thờ Hải thần"	53102	""	53103	2	1620	30	0	0	0	""	400	2|60	22001	8	11004|11005|15007|11002|25001	100|148|1|485|10	2	1	22001	1	38	0	0	0	0	-1	28	11006|11003	5|2	
53103	31	"Bàn thờ Hải thần"	53103	""	53104	3	3315	50	0	0	0	""	400	3|60	22001	12	11004|11005|15008|11002|25001	335|125|1|1080|30	3	1	22001	1	56	0	0	0	0	-1	28	11006|11003	5|2	
53104	31	"Bàn thờ Hải thần"	53104	""	53105	4	5530	70	0	0	0	""	400	4|60	22001	15	11004|11005|15008|11002|25001	385|155|2|1380|40	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53105	31	"Bàn thờ Hải thần"	53105	""	53106	5	7575	50	0	0	0	""	400	5|60	22001	20	11004|11005|15008|11002|25001	425|225|3|1680|50	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53106	31	"Bàn thờ Hải thần"	53105	""	53107	6	7760	60	0	0	0	""	400	6|60	22001	25	0	0	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53107	31	"Bàn thờ Hải thần"	53105	""	0	7	9520	70	0	0	0	""	400	6|60	22001	25	0	0	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53108	31	"Bàn thờ Hải thần"	53105	""	0	8	11305	80	0	0	0	""	400	6|60	22001	25	0	0	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53109	31	"Bàn thờ Hải thần"	53105	""	0	9	13345	90	0	0	0	""	400	6|60	22001	25	0	0	4	2	22001	1	0	0	0	0	0	-1	28	11006|11003	5|2	
53110	32	"Bàn thờ Hải thần"	53105	""	0	10	15030	100	0	0	0	""	400	6|60	22001	25	0	0	4	2	22001	1	0	0	0	0	0	-1	28	0	0	
53200	32	"Nhà Chài"	53200	""	53201	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15006|11002|25001	175|100|1|540|20	0	0	0	0	32	0	0	0	165	0	4	11006|11003	5|2	
53201	32	"Nhà Chài"	53201	""	53202	1	1350	10	0	0	0	""	400	1|30	11002	20	11004|11005|15007|11002|25001	135|220|1|830|30	1	1	15001	1	47	0	0	0	0	0	4	11006|11003	5|2	
53202	32	"Nhà Chài"	53202	""	53203	2	1620	30	0	0	0	""	400	2|30	11002	24	11004|11005|15008|11002|25001	365|140|2|555|40	2	1	15001	1	61	0	0	0	0	0	4	11006|11003	5|2	
53203	32	"Nhà Chài"	53203	""	53204	3	2665	50	0	0	0	""	400	3|30	11002	30	11004|11005|15008|11002|25001	220|360|3|1460|50	3	1	15001	1	72	0	0	0	0	0	4	11006|11003	5|2	
53204	32	"Nhà Chài"	53204	""	53205	4	4130	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53205	32	"Nhà Chài"	53204	""	0	5	6075	40	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53206	32	"Nhà Chài"	53204	""	0	6	7760	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53207	32	"Nhà Chài"	53204	""	0	7	9520	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53208	32	"Nhà Chài"	53204	""	0	8	11305	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53209	32	"Nhà Chài"	53204	""	0	9	13345	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53210	32	"Nhà Chài"	53204	""	0	10	15030	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	0	0	
53300	33	"Xưởng"	53300	""	53301	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15007|11002|25001	200|110|1|820|35	0	0	0	0	43	0	0	0	74	0	4	11006|11003	5|2	
53301	33	"Xưởng"	53301	""	53302	1	1350	10	0	0	0	""	400	1|30	11002	20	11004|11005|15008|11002|25001	245|120|1|880|45	1	1	15001	1	49	0	0	0	0	0	4	11006|11003	5|2	
53302	33	"Xưởng"	53302	""	53303	2	1620	30	0	0	0	""	400	2|30	11002	24	0	0	2	1	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53303	33	"Xưởng"	53303	""	0	3	3315	50	0	0	0	""	400	3|25	11002	30	0	0	3	1	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53304	33	"Xưởng"	53304	""	0	4	5530	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53305	33	"Xưởng"	53304	""	0	5	7575	40	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53306	33	"Xưởng"	53304	""	0	6	7760	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53307	33	"Xưởng"	53304	""	0	7	9520	50	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53308	33	"Xưởng"	53304	""	0	8	11305	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53309	33	"Xưởng"	53304	""	0	9	13345	60	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	11006|11003	5|2	
53310	33	"Xưởng"	53304	""	0	10	15030	70	0	0	0	""	400	4|30	11002	36	0	0	4	2	15001	1	0	0	0	0	0	0	4	0	0	
54000	4	"Xưởng Gỗ"	54000	""	54001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15006|11002	165|95|1|460	0	0	0	0	27	0	0	0	112	-2	19	11006|11003	5|2	
54001	4	"Xưởng Gỗ"	54001	""	54002	1	3000	10	0	0	0	""	400	3|30	16001	20	11004|11005|15007|11002	125|210|1|845	1	1	15001	1	46	0	0	0	0	0	24	11006|11003	5|2	
54002	4	"Xưởng Gỗ"	54002	""	54003	2	3600	20	0	0	0	""	400	5|30	16001	25	11004|11005|15008|11002|25001	155|205|1|530|35	2	1	15001	1	52	0	0	0	0	0	24	11006|11003	5|2	
54003	4	"Xưởng Gỗ"	54003	""	54004	3	5005	30	0	0	0	""	400	7|30	16001	30	11004|11005|15008|11002|25001	300|135|1|1025|45	3	1	15001	1	55	0	0	0	0	0	24	11006|11003	5|2	
54004	4	"Xưởng Gỗ"	54003	""	54005	4	6930	40	0	0	0	""	400	10|30	16001	35	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54005	4	"Xưởng Gỗ"	54003	""	0	5	9075	40	0	0	0	""	400	10|30	16001	35	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54006	4	"Xưởng Gỗ"	54003	""	0	6	10960	50	0	0	0	""	400	10|30	16001	40	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54007	4	"Xưởng Gỗ"	54003	""	0	7	11760	50	0	0	0	""	400	10|30	16001	45	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54008	4	"Xưởng Gỗ"	54003	""	0	8	13515	60	0	0	0	""	400	10|30	16001	50	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54009	4	"Xưởng Gỗ"	54003	""	0	9	14535	60	0	0	0	""	400	10|30	16001	55	0	0	4	2	15001	1	0	0	0	0	0	0	24	11006|11003	5|2	
54010	4	"Xưởng Gỗ"	54003	""	0	10	16650	70	0	0	0	""	400	10|30	16001	60	0	0	4	2	15001	1	0	0	0	0	0	0	24	0	0	
55000	5	"Hầm Mỏ"	55000	""	55001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15007|11002	195|105|1|660	0	0	0	0	37	0	0	0	89	0	16	11006|11003	5|2	
55001	5	"Hầm Mỏ"	55001	""	55002	1	3000	10	0	0	0	""	400	2|30	17001	15	11004|11005|15008|11002|25001	175|270|1|1145|30	1	1	15001	1	59	0	0	0	0	1	16	11006|11003	5|2	
55002	5	"Hầm Mỏ"	55002	""	55003	2	3600	20	0	0	0	""	400	4|30	17001	20	11004|11005|15008|11002|25001	385|155|2|415|140	2	1	15001	1	62	0	0	0	0	0	24	11006|11003	5|2	
55003	5	"Hầm Mỏ"	55003	""	55004	3	5005	30	0	0	0	""	400	6|30	17001	25	11004|11005|15008|11002|25001	195|325|2|1400|50	3	1	15001	1	70	0	0	0	0	3	21	11006|11003	5|2	
55004	5	"Hầm Mỏ"	55003	""	55005	4	6930	40	0	0	0	""	400	8|30	17001	30	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55005	5	"Hầm Mỏ"	55003	""	0	5	9075	50	0	0	0	""	400	5|60	17001	24	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55006	5	"Hầm Mỏ"	55003	""	0	6	10960	60	0	0	0	""	400	6|60	17001	28	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55007	5	"Hầm Mỏ"	55003	""	0	7	11760	70	0	0	0	""	400	7|60	17001	32	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55008	5	"Hầm Mỏ"	55003	""	0	8	13515	80	0	0	0	""	400	8|60	17001	36	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55009	5	"Hầm Mỏ"	55003	""	0	9	14535	90	0	0	0	""	400	9|60	17001	40	0	0	4	2	15001	1	0	0	0	0	0	3	21	11006|11003	5|2	
55010	5	"Hầm Mỏ"	55003	""	0	10	16650	100	0	0	0	""	400	10|60	17001	44	0	0	4	2	15001	1	0	0	0	0	0	3	21	0	0	
56000	6	"Đồn Trú"	56000	""	56001	0	0	0	0	0	25000	fly_2	0	0	0	0	11004|11005|14001|11002	25|10|1|35	0	0	0	0	4	0	0	0	153	2	8	11003	1	
56001	6	"Đồn Trú"	56001	""	56002	1	4000	20	30	100	25000	fly_2	500	0	0	3	11004|11005|14004|11002	85|45|1|130	1	2	14001	1	13	0	0	4	0	1	10	11006|11003	3|1	
56002	6	"Đồn Trú"	56002	""	56003	2	4800	30	50	110	25000	fly_2	500	0	0	4	11004|11005|14005|11002|25001	80|100|1|245|10	2	2	14001	1	20	0	0	0	0	-1	10	11006|11003	5|2	
56003	6	"Đồn Trú"	56003	""	56004	3	6175	40	70	120	25000	fly_2	500	0	0	6	11004|11005|14005|11002|25001	95|145|1|365|20	3	3	14001	1	24	0	0	0	0	-1	10	11006|11003	5|2	
56004	6	"Đồn Trú"	56004	""	56005	4	7700	50	90	130	25000	fly_2	500	0	0	7	11004|11005|14006|11002|25001	120|165|1|465|30	3	3	14001	1	28	0	0	0	0	-1	13	11006|11003	5|2	
56005	6	"Đồn Trú"	56005	""	56006	5	9375	60	110	140	25000	fly_2	500	0	0	8	11004|11005|14007|11002|25001	230|125|1|600|40	3	4	14001	1	39	0	0	0	0	-1	15	11006|11003	5|2	
56006	6	"Đồn Trú"	56005	""	56007	6	11200	70	130	150	25000	fly_2	500	0	0	8	11004|11005|14008|11002|25001	285|135|1|710|50	4	4	14001	1	50	0	0	0	0	4	18	11006|11003	5|2	
56007	6	"Đồn Trú"	56005	""	56008	7	12240	80	140	155	25000	fly_2	500	0	0	9	11004|11005|14008|11002|25001	340|135|1|855|60	4	4	14001	1	57	0	0	0	0	4	18	11006|11003	5|2	
56008	6	"Đồn Trú"	56005	""	56009	8	14025	90	150	160	25000	fly_2	500	0	0	10	11004|11005|14008|11002|25001	370|175|2|1000|70	4	4	14001	1	68	0	0	0	0	4	18	11006|11003	5|2	
56009	6	"Đồn Trú"	56005	""	56010	9	15300	100	160	165	25000	fly_2	500	0	0	10	11004|11005|14008|11002|25001	425|205|3|1285|80	5	4	14001	1	74	0	0	0	0	4	18	11006|11003	5|2	
56010	6	"Đồn Trú"	56005	""	0	10	17550	110	170	170	25000	fly_2	500	0	0	10	0	0	5	5	14001	1	0	0	0	0	0	4	18	0	0	
57000	7	"Quầy Hàng"	57000	""	57001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|15002|11002	35|15|1|45	0	0	0	0	5	0	0	0	196	-8	14	11003	1	
57001	7	"Quầy Hàng"	57001	57001	0	1	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	
59000	9	"Hải Đăng"	59000	""	59001	0	0	0	0	0	0	""	0	0	0	0	11004|11005|13001|11002	18|7|1|30	0	0	0	0	3	0	0	0	199	18	43	11003	1	
59001	9	"Hải Đăng"	59001	""	59002	1	2000	10	0	0	0	""	500	1|30	11006	30	11004|11005|13004|11002	80|48|1|145	1	2	13001	1	14	0	0	3	0	18	43	11006|11003	3|2	
59002	9	"Hải Đăng"	59002	""	59003	2	2400	20	0	0	0	""	500	1|30	11006	35	11004|11005|13005|11002|25001	85|115|1|235|10	2	2	13001	1	18	0	0	0	0	18	43	11006|11003	5|2	
59003	9	"Hải Đăng"	59003	""	59004	3	5005	30	0	0	0	""	500	1|30	11006	40	11004|11005|13006|11002|25001	185|105|1|360|20	3	3	13001	1	33	0	0	0	0	18	43	11006|11003	5|2	
59004	9	"Hải Đăng"	59004	""	59005	4	6650	30	0	0	0	""	500	1|30	11006	44	11004|11005|13007|11002|25001	115|195|1|445|30	3	3	13001	1	41	0	0	0	0	18	43	11006|11003	5|2	
59005	9	"Hải Đăng"	59005	""	59006	5	8775	40	0	0	0	""	500	1|30	11006	48	11004|11005|13007|11002|25001	245|120|1|585|40	3	4	13001	1	45	0	0	0	0	18	43	11006|11003	5|2	
59006	9	"Hải Đăng"	59005	""	59007	6	10640	40	0	0	0	""	500	1|30	11006	50	11004|11005|13008|11002|25001	155|265|1|720|50	4	4	13001	1	58	0	0	0	0	18	43	11006|11003	5|2	
59007	9	"Hải Đăng"	59005	""	59008	7	11920	50	0	0	0	""	500	1|30	11006	52	11004|11005|13008|11002|25001	180|310|2|880|60	4	4	13001	1	64	0	0	0	0	18	43	11006|11003	5|2	
59008	9	"Hải Đăng"	59005	""	59009	8	14025	50	0	0	0	""	500	1|30	11006	54	11004|11005|13008|11002|25001	380|180|2|1060|70	4	4	13001	1	69	0	0	0	0	18	43	11006|11003	5|2	
59009	9	"Hải Đăng"	59005	""	59010	9	15385	60	0	0	0	""	500	1|30	11006	56	11004|11005|13008|11002|25001	450|195|3|1280|80	5	4	13001	1	75	0	0	0	0	18	43	11006|11003	5|2	
59010	9	"Hải Đăng"	59005	""	0	10	17730	60	0	0	0	""	500	1|30	11006	60	0	0	5	5	13001	1	0	0	0	0	0	18	43	0	0	
60000	10	"Tàu Biển"	60000	""	60001	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	18	43	11003	1	
60001	10	"Tàu Biển"	60001	""	60002	1	0	0	0	0	0	""	0	0	0	3	11004|11005|13003|11002	85|46|1|160	0	0	0	0	8	0	1	1	0	0	0	11006|11003	2|1	
60002	10	"Tàu Biển"	60002	""	60003	2	0	0	0	0	0	""	0	0	0	4	11004|11005|13004|11002|25001	90|120|1|225|10	0	0	0	0	15	0	0	0	0	0	0	11006|11003	4|2	
60003	10	"Tàu Biển"	60003	""	60004	3	0	0	0	0	0	""	0	0	0	5	11004|11005|13005|11002|25001	165|125|1|370|20	0	0	0	0	22	0	0	0	0	0	0	11006|11003	5|2	
60004	10	"Tàu Biển"	60004	""	60005	4	0	0	0	0	0	""	0	0	0	6	11004|11005|13006|11002|25001	115|175|1|485|30	0	0	0	0	34	0	0	0	0	0	0	11006|11003	5|2	
60005	10	"Tàu Biển"	60005	""	60006	5	0	0	0	0	0	""	0	0	0	7	11004|11005|13007|11002|25001	210|115|1|590|40	0	0	0	0	44	0	0	0	0	0	0	11006|11003	5|2	
60006	10	"Tàu Biển"	60005	""	60007	6	0	0	0	0	0	""	0	0	0	8	11004|11005|13008|11002|25001	155|245|1|750|50	0	0	0	0	53	0	0	0	0	0	0	11006|11003	5|2	
60007	10	"Tàu Biển"	60005	""	60008	7	0	0	0	0	0	""	0	0	0	9	11004|11005|13008|11002|25001	385|160|2|845|60	0	0	0	0	63	0	0	0	0	0	0	11006|11003	5|2	
60008	10	"Tàu Biển"	60005	""	60009	8	0	0	0	0	0	""	0	0	0	10	11004|11005|13008|11002|25001	365|180|2|1080|70	0	0	0	0	67	0	0	0	0	0	0	11006|11003	5|2	
60009	10	"Tàu Biển"	60005	""	60010	9	0	0	0	0	0	""	0	0	0	10	11004|11005|13008|11002|25001	270|395|3|1320|80	0	0	0	0	76	0	0	0	0	0	0	11006|11003	5|2	
60010	10	"Tàu Biển"	60005	""	0	10	0	0	0	0	0	""	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
61001	1	"Lâu Đài Huyền Bí"	61001	""	61002	1	6500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	7	0	0	
61002	1	"Lâu Đài Huyền Bí"	61001	""	61003	2	7500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61003	1	"Lâu Đài Huyền Bí"	61001	""	61004	3	8500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61004	1	"Lâu Đài Huyền Bí"	61001	""	61005	4	9500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61005	1	"Lâu Đài Huyền Bí"	61001	""	61006	5	10500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61006	1	"Lâu Đài Huyền Bí"	61001	""	61007	6	11500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61007	1	"Lâu Đài Huyền Bí"	61001	""	61008	7	12500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
61008	1	"Lâu Đài Huyền Bí"	61001	""	61009	8	13500	0	0	0	0	""	600	0	0	0	0	0	3	10	0	0	0	0	0	0	0	-1	16	0	0	
