cellID	areaID	lock	comTimes	itemType	itemID	isObstruct	plantID	landImgID	landYOffset	plantXOffset	plantYOffset	mapIndex	
205	1	27	10000	0	0	0	114	37	0	0	72	328	
206	1	28	10000	0	0	0	0	3	10	0	76	329	
207	1	29	10000	0	0	0	0	5	12	0	76	330	
208	6	7	10000	1	20004	0	136	6	4	0	72	334	
209	6	8	10000	1	22006	0	138	2	6	0	72	335	
210	6	0	10000	0	0	1	105	6	25	13	67	337	
211	6	1	10000	0	0	1	104	2	27	17	72	338	
212	6	2	10000	0	0	1	101	2	10	39	74	339	
213	5	7	10000	0	0	1	133	9	3	-5	67	342	
214	5	13	10000	0	0	0	0	13	3	0	76	343	
215	3	10	1	1	15001	0	113	9	-1	0	72	345	
216	3	9	1	0	0	0	0	9	-1	0	76	346	
217	3	8	1	1	20003	0	0	9	-1	0	76	347	
218	2	0	1	1	14001	0	0	9	1	0	76	348	
219	2	1	1	0	0	0	136	3	7	0	72	349	
220	2	2	1	1	17001	0	0	6	12	0	76	350	
221	2	3	1	0	0	1	104	5	8	6	67	351	
222	6	3	10000	0	0	1	102	3	13	-9	61	357	
223	6	4	10000	0	0	1	0	3	3	-2	56	358	
224	5	0	10000	0	0	1	107	12	7	-2	69	360	
225	3	0	10000	1	12001	0	0	9	-1	0	76	365	
226	3	1	10000	1	26301	0	114	9	-1	0	72	366	
227	3	11	1	1	21002	0	0	9	-1	0	76	367	
228	2	4	1	0	0	1	101	1	16	21	69	368	
229	2	5	1	1	17001	0	0	6	15	0	76	369	
230	2	6	1	3	36001	0	0	2	15	0	76	370	
231	2	7	1	3	36001	0	0	6	7	0	76	371	
232	2	8	1	1	16001	0	0	4	4	0	76	372	
233	5	1	10000	0	0	1	107	11	16	10	76	380	
234	5	2	10000	0	0	1	107	11	5	0	72	381	
235	3	2	10000	0	0	1	0	9	2	0	76	385	
236	3	3	10000	1	17001	0	0	9	3	0	76	386	
237	3	12	1	1	16001	0	0	9	2	0	76	387	
238	2	9	1	1	16001	0	0	6	16	0	76	388	
239	2	10	1	0	0	0	0	17	13	0	76	389	
240	2	11	1	1	13001	0	0	17	13	0	76	390	
241	2	12	1	3	36001	0	0	4	7	0	76	391	
242	2	13	1	1	18002	0	0	2	4	0	76	392	
243	4	0	1	1	20001	0	0	9	-1	0	76	407	
244	2	14	1	1	14001	0	0	15	14	2	72	408	
245	2	15	1	1	16001	0	0	17	14	0	76	409	
246	2	16	1	1	16001	0	0	17	3	0	76	410	
247	4	7	1	1	17001	0	0	15	4	0	76	411	
248	4	10	1	1	21052	0	0	17	2	0	72	412	
249	4	1	1	1	21052	0	113	9	-1	0	72	427	
250	4	2	1	0	0	1	107	9	-1	20	59	428	
251	4	3	1	2	53000	0	0	17	1	0	76	429	
252	4	5	1	1	16001	0	0	15	2	0	76	430	
253	4	8	1	1	21053	0	0	17	2	0	76	431	
254	4	4	1	3	36001	0	0	17	0	0	76	449	
255	4	6	1	1	21054	0	0	17	1	0	76	450	
256	4	9	1	1	21053	0	0	16	0	0	76	451	
